"Date","Price","Open","High","Low","Change","ID","CROSS"
"2019-09-30","1.6152","1.6175","1.6222","1.6122","-0.0010","EURAUD_2019-09-30",EURAUD
"2019-09-27","1.6168","1.6181","1.6221","1.6124","-0.0009","EURAUD_2019-09-27",EURAUD
"2019-09-26","1.6183","1.6208","1.6241","1.6139","-0.0016","EURAUD_2019-09-26",EURAUD
"2019-09-25","1.6209","1.6201","1.6289","1.6166","0.0005","EURAUD_2019-09-25",EURAUD
"2019-09-24","1.6201","1.6232","1.6245","1.6151","-0.0017","EURAUD_2019-09-24",EURAUD
"2019-09-23","1.6229","1.6274","1.6288","1.6196","-0.0029","EURAUD_2019-09-23",EURAUD
"2019-09-20","1.6277","1.6256","1.6300","1.6220","0.0014","EURAUD_2019-09-20",EURAUD
"2019-09-19","1.6254","1.6154","1.6302","1.6141","0.0062","EURAUD_2019-09-19",EURAUD
"2019-09-18","1.6154","1.6121","1.6184","1.6114","0.0018","EURAUD_2019-09-18",EURAUD
"2019-09-17","1.6125","1.6024","1.6145","1.6018","0.0062","EURAUD_2019-09-17",EURAUD
"2019-09-16","1.6025","1.6082","1.6166","1.6014","-0.0048","EURAUD_2019-09-16",EURAUD
"2019-09-13","1.6102","1.6112","1.6171","1.6066","-0.0006","EURAUD_2019-09-13",EURAUD
"2019-09-12","1.6111","1.6046","1.6132","1.5901","0.0041","EURAUD_2019-09-12",EURAUD
"2019-09-11","1.6045","1.6095","1.6132","1.6007","-0.0032","EURAUD_2019-09-11",EURAUD
"2019-09-10","1.6096","1.6100","1.6123","1.6071","-0.0002","EURAUD_2019-09-10",EURAUD
"2019-09-09","1.6100","1.6107","1.6131","1.6045","-0.0005","EURAUD_2019-09-09",EURAUD
"2019-09-06","1.6108","1.6190","1.6208","1.6088","-0.0052","EURAUD_2019-09-06",EURAUD
"2019-09-05","1.6192","1.6236","1.6246","1.6156","-0.0028","EURAUD_2019-09-05",EURAUD
"2019-09-04","1.6237","1.6239","1.6251","1.6177","-0.0001","EURAUD_2019-09-04",EURAUD
"2019-09-03","1.6239","1.6326","1.6357","1.6217","-0.0057","EURAUD_2019-09-03",EURAUD
"2019-09-02","1.6332","1.6355","1.6382","1.6296","0.0010","EURAUD_2019-09-02",EURAUD
"2019-08-30","1.6315","1.6432","1.6478","1.6305","-0.0075","EURAUD_2019-08-30",EURAUD
"2019-08-29","1.6438","1.6454","1.6510","1.6397","-0.0007","EURAUD_2019-08-29",EURAUD
"2019-08-28","1.6450","1.6424","1.6466","1.6393","0.0015","EURAUD_2019-08-28",EURAUD
"2019-08-27","1.6425","1.6386","1.6473","1.6367","0.0024","EURAUD_2019-08-27",EURAUD
"2019-08-26","1.6386","1.6559","1.6683","1.6361","-0.0066","EURAUD_2019-08-26",EURAUD
"2019-08-23","1.6495","1.6399","1.6528","1.6356","0.0060","EURAUD_2019-08-23",EURAUD
"2019-08-22","1.6397","1.6347","1.6423","1.6336","0.0031","EURAUD_2019-08-22",EURAUD
"2019-08-21","1.6347","1.6375","1.6388","1.6320","-0.0018","EURAUD_2019-08-21",EURAUD
"2019-08-20","1.6377","1.6376","1.6413","1.6307","0.0000","EURAUD_2019-08-20",EURAUD
"2019-08-19","1.6377","1.6356","1.6416","1.6312","0.0013","EURAUD_2019-08-19",EURAUD
"2019-08-16","1.6355","1.6392","1.6412","1.6303","-0.0022","EURAUD_2019-08-16",EURAUD
"2019-08-15","1.6391","1.6507","1.6518","1.6352","-0.0070","EURAUD_2019-08-15",EURAUD
