"Date","Price","Open","High","Low","Change","ID","CROSS"
"2019-09-30","1.8492","1.8538","1.8575","1.8450","-0.0036","EURAZN_2019-09-30",EURAZN
"2019-09-27","1.8558","1.8526","1.8592","1.8494","0.0016","EURAZN_2019-09-27",EURAZN
"2019-09-26","1.8529","1.8563","1.8607","1.8469","-0.0019","EURAZN_2019-09-26",EURAZN
"2019-09-25","1.8565","1.8673","1.8692","1.8509","-0.0129","EURAZN_2019-09-25",EURAZN
"2019-09-24","1.8808","1.8786","1.8856","1.8720","0.0085","EURAZN_2019-09-24",EURAZN
"2019-09-23","1.8650","1.8689","1.8707","1.8567","-0.0022","EURAZN_2019-09-23",EURAZN
"2019-09-20","1.8692","1.8709","1.8778","1.8607","-0.0081","EURAZN_2019-09-20",EURAZN
"2019-09-19","1.8844","1.8845","1.8922","1.8808","0.0070","EURAZN_2019-09-19",EURAZN
"2019-09-18","1.8713","1.8783","1.8791","1.8639","-0.0038","EURAZN_2019-09-18",EURAZN
"2019-09-17","1.8784","1.8661","1.8789","1.8636","0.0064","EURAZN_2019-09-17",EURAZN
"2019-09-16","1.8665","1.8781","1.8807","1.8586","-0.0123","EURAZN_2019-09-16",EURAZN
"2019-09-13","1.8897","1.8906","1.8986","1.8874","0.0069","EURAZN_2019-09-13",EURAZN
"2019-09-12","1.8768","1.8680","1.8812","1.8537","0.0048","EURAZN_2019-09-12",EURAZN
"2019-09-11","1.8679","1.8720","1.8757","1.8613","-0.0092","EURAZN_2019-09-11",EURAZN
"2019-09-10","1.8852","1.8872","1.8896","1.8822","0.0058","EURAZN_2019-09-10",EURAZN
"2019-09-09","1.8743","1.8675","1.8778","1.8671","-0.0040","EURAZN_2019-09-09",EURAZN
"2019-09-06","1.8818","1.8840","1.8901","1.8810","0.0043","EURAZN_2019-09-06",EURAZN
"2019-09-05","1.8737","1.8751","1.8838","1.8720","0.0007","EURAZN_2019-09-05",EURAZN
