"Date","Price","Open","High","Low","Change","ID","CROSS"
"2019-09-30","1.5064","1.5111","1.5130","1.5053","-0.0032","EURBND_2019-09-30",EURBND
"2019-09-27","1.5113","1.5096","1.5145","1.5071","0.0011","EURBND_2019-09-27",EURBND
"2019-09-26","1.5096","1.5088","1.5149","1.5073","0.0005","EURBND_2019-09-26",EURBND
"2019-09-25","1.5089","1.5159","1.5171","1.5077","-0.0049","EURBND_2019-09-25",EURBND
"2019-09-24","1.5163","1.5151","1.5167","1.5127","0.0009","EURBND_2019-09-24",EURBND
"2019-09-23","1.5150","1.5173","1.5184","1.5109","-0.0016","EURBND_2019-09-23",EURBND
"2019-09-20","1.5175","1.5222","1.5242","1.5134","-0.0032","EURBND_2019-09-20",EURBND
"2019-09-19","1.5223","1.5182","1.5268","1.5168","0.0028","EURBND_2019-09-19",EURBND
"2019-09-18","1.5180","1.5214","1.5226","1.5155","-0.0022","EURBND_2019-09-18",EURBND
"2019-09-17","1.5214","1.5127","1.5221","1.5123","0.0055","EURBND_2019-09-17",EURBND
"2019-09-16","1.5131","1.5212","1.5247","1.5117","-0.0052","EURBND_2019-09-16",EURBND
"2019-09-13","1.5210","1.5214","1.5257","1.5192","-0.0002","EURBND_2019-09-13",EURBND
"2019-09-12","1.5213","1.5190","1.5236","1.5042","0.0016","EURBND_2019-09-12",EURBND
"2019-09-11","1.5188","1.5241","1.5255","1.5153","-0.0034","EURBND_2019-09-11",EURBND
"2019-09-10","1.5240","1.5237","1.5257","1.5215","-0.0001","EURBND_2019-09-10",EURBND
"2019-09-09","1.5241","1.5239","1.5266","1.5204","0.0005","EURBND_2019-09-09",EURBND
"2019-09-06","1.5233","1.5271","1.5291","1.5214","-0.0025","EURBND_2019-09-06",EURBND
"2019-09-05","1.5271","1.5276","1.5331","1.5247","-0.0005","EURBND_2019-09-05",EURBND
"2019-09-04","1.5278","1.5258","1.5283","1.5231","0.0013","EURBND_2019-09-04",EURBND
"2019-09-03","1.5258","1.5260","1.5276","1.5219","-0.0001","EURBND_2019-09-03",EURBND
"2019-09-02","1.5260","1.5241","1.5282","1.5237","0.0009","EURBND_2019-09-02",EURBND
"2019-08-30","1.5247","1.5346","1.5360","1.5228","-0.0064","EURBND_2019-08-30",EURBND
"2019-08-29","1.5345","1.5385","1.5407","1.5327","-0.0025","EURBND_2019-08-29",EURBND
"2019-08-28","1.5384","1.5408","1.5419","1.5369","-0.0016","EURBND_2019-08-28",EURBND
"2019-08-27","1.5409","1.5416","1.5447","1.5393","-0.0005","EURBND_2019-08-27",EURBND
"2019-08-26","1.5416","1.5462","1.5542","1.5399","-0.0027","EURBND_2019-08-26",EURBND
"2019-08-23","1.5457","1.5350","1.5470","1.5328","0.0069","EURBND_2019-08-23",EURBND
"2019-08-22","1.5351","1.5344","1.5400","1.5333","0.0004","EURBND_2019-08-22",EURBND
"2019-08-21","1.5345","1.5370","1.5382","1.5332","-0.0018","EURBND_2019-08-21",EURBND
"2019-08-20","1.5372","1.5364","1.5387","1.5338","0.0007","EURBND_2019-08-20",EURBND
"2019-08-19","1.5361","1.5358","1.5392","1.5348","0.0005","EURBND_2019-08-19",EURBND
"2019-08-16","1.5354","1.5430","1.5439","1.5345","-0.0048","EURBND_2019-08-16",EURBND
