"Date","Price","Open","High","Low","Change","ID","CROSS"
"2019-09-30","4.5296","4.5516","4.5554","4.5146","-0.0047","EURBRL_2019-09-30",EURBRL
"2019-09-27","4.5508","4.5548","4.5630","4.5363","-0.0011","EURBRL_2019-09-27",EURBRL
"2019-09-26","4.5556","4.5388","4.5564","4.5056","0.0034","EURBRL_2019-09-26",EURBRL
"2019-09-25","4.5403","4.5910","4.6089","4.5356","-0.0106","EURBRL_2019-09-25",EURBRL
"2019-09-24","4.5890","4.5782","4.6062","4.5700","0.0026","EURBRL_2019-09-24",EURBRL
"2019-09-23","4.5772","4.5706","4.6000","4.5499","0.0015","EURBRL_2019-09-23",EURBRL
"2019-09-20","4.5704","4.6018","4.6142","4.5677","-0.0067","EURBRL_2019-09-20",EURBRL
"2019-09-19","4.6011","4.5339","4.6024","4.5307","0.0146","EURBRL_2019-09-19",EURBRL
"2019-09-18","4.5347","4.5150","4.5386","4.5004","0.0044","EURBRL_2019-09-18",EURBRL
"2019-09-17","4.5150","4.4875","4.5398","4.4842","0.0056","EURBRL_2019-09-17",EURBRL
"2019-09-16","4.4897","4.5294","4.5320","4.4821","-0.0076","EURBRL_2019-09-16",EURBRL
"2019-09-13","4.5240","4.4932","4.5370","4.4805","0.0070","EURBRL_2019-09-13",EURBRL
"2019-09-12","4.4924","4.4790","4.5052","4.4039","0.0030","EURBRL_2019-09-12",EURBRL
"2019-09-11","4.4789","4.5077","4.5126","4.4542","-0.0062","EURBRL_2019-09-11",EURBRL
"2019-09-10","4.5069","4.5243","4.5604","4.5030","-0.0039","EURBRL_2019-09-10",EURBRL
"2019-09-09","4.5245","4.4798","4.5356","4.4670","0.0102","EURBRL_2019-09-09",EURBRL
"2019-09-06","4.4789","4.5338","4.5416","4.4769","-0.0121","EURBRL_2019-09-06",EURBRL
"2019-09-05","4.5338","4.5197","4.5419","4.5024","0.0032","EURBRL_2019-09-05",EURBRL
"2019-09-04","4.5193","4.5727","4.5944","4.5113","-0.0119","EURBRL_2019-09-04",EURBRL
"2019-09-03","4.5737","4.5920","4.5937","4.5470","-0.0041","EURBRL_2019-09-03",EURBRL
"2019-09-02","4.5924","4.5564","4.5964","4.5427","0.0085","EURBRL_2019-09-02",EURBRL
"2019-08-30","4.5538","4.6101","4.6120","4.5255","-0.0121","EURBRL_2019-08-30",EURBRL
"2019-08-29","4.6094","4.6172","4.6288","4.5850","-0.0017","EURBRL_2019-08-29",EURBRL
"2019-08-28","4.6174","4.5805","4.6193","4.5732","0.0078","EURBRL_2019-08-28",EURBRL
"2019-08-27","4.5816","4.6139","4.6514","4.5724","-0.0073","EURBRL_2019-08-27",EURBRL
"2019-08-26","4.6151","4.5929","4.6285","4.5621","0.0048","EURBRL_2019-08-26",EURBRL
"2019-08-23","4.5929","4.5107","4.6052","4.4928","0.0184","EURBRL_2019-08-23",EURBRL
"2019-08-22","4.5101","4.4629","4.5229","4.4496","0.0103","EURBRL_2019-08-22",EURBRL
"2019-08-21","4.4641","4.4994","4.5041","4.4544","-0.0081","EURBRL_2019-08-21",EURBRL
"2019-08-20","4.5004","4.5149","4.5201","4.4661","-0.0029","EURBRL_2019-08-20",EURBRL
"2019-08-19","4.5136","4.4396","4.5208","4.4285","0.0160","EURBRL_2019-08-19",EURBRL
"2019-08-16","4.4425","4.4330","4.4448","4.3998","0.0022","EURBRL_2019-08-16",EURBRL
"2019-08-15","4.4326","4.5118","4.5213","4.4193","-0.0181","EURBRL_2019-08-15",EURBRL
"2019-08-14","4.5141","4.4276","4.5172","4.4253","0.0189","EURBRL_2019-08-14",EURBRL
"2019-08-13","4.4303","4.4688","4.5023","4.4111","-0.0084","EURBRL_2019-08-13",EURBRL
"2019-08-12","4.4680","4.4157","4.5028","4.3978","0.0122","EURBRL_2019-08-12",EURBRL
"2019-08-09","4.4140","4.3832","4.4327","4.3828","0.0073","EURBRL_2019-08-09",EURBRL
"2019-08-08","4.3820","4.4444","4.4568","4.3796","-0.0142","EURBRL_2019-08-08",EURBRL
"2019-08-07","4.4450","4.4375","4.4871","4.4177","0.0019","EURBRL_2019-08-07",EURBRL
"2019-08-06","4.4365","4.4559","4.4727","4.4025","-0.0044","EURBRL_2019-08-06",EURBRL
"2019-08-05","4.4563","4.3149","4.4581","4.3149","0.0314","EURBRL_2019-08-05",EURBRL
"2019-08-02","4.3206","4.2564","4.3264","4.2506","0.0150","EURBRL_2019-08-02",EURBRL
"2019-08-01","4.2569","4.2256","4.2805","4.2062","0.0076","EURBRL_2019-08-01",EURBRL
"2019-07-31","4.2246","4.2275","4.2328","4.1710","-0.0009","EURBRL_2019-07-31",EURBRL
"2019-07-30","4.2284","4.2153","4.2355","4.2100","0.0033","EURBRL_2019-07-30",EURBRL
"2019-07-29","4.2144","4.2013","4.2289","4.1961","0.0030","EURBRL_2019-07-29",EURBRL
"2019-07-26","4.2017","4.2143","4.2256","4.1792","-0.0030","EURBRL_2019-07-26",EURBRL
"2019-07-25","4.2142","4.2043","4.2538","4.1715","0.0024","EURBRL_2019-07-25",EURBRL
"2019-07-24","4.2043","4.2093","4.2120","4.1814","-0.0012","EURBRL_2019-07-24",EURBRL
"2019-07-23","4.2095","4.1941","4.2158","4.1808","0.0039","EURBRL_2019-07-23",EURBRL
"2019-07-22","4.1932","4.2039","4.2069","4.1826","-0.0034","EURBRL_2019-07-22",EURBRL
"2019-07-19","4.2077","4.1951","4.2107","4.1780","0.0032","EURBRL_2019-07-19",EURBRL
"2019-07-18","4.1943","4.2249","4.2328","4.1895","-0.0072","EURBRL_2019-07-18",EURBRL
"2019-07-17","4.2246","4.2246","4.2302","4.2086","-0.0001","EURBRL_2019-07-17",EURBRL
"2019-07-16","4.2252","4.2287","4.2310","4.2091","-0.0010","EURBRL_2019-07-16",EURBRL
"2019-07-15","4.2293","4.2157","4.2320","4.1986","0.0040","EURBRL_2019-07-15",EURBRL
"2019-07-12","4.2123","4.2268","4.2375","4.2015","-0.0032","EURBRL_2019-07-12",EURBRL
"2019-07-11","4.2259","4.2251","4.2420","4.2115","0.0004","EURBRL_2019-07-11",EURBRL
"2019-07-10","4.2242","4.2594","4.2680","4.2198","-0.0083","EURBRL_2019-07-10",EURBRL
"2019-07-09","4.2596","4.2697","4.2706","4.2571","-0.0023","EURBRL_2019-07-09",EURBRL
"2019-07-08","4.2695","4.2900","4.2950","4.2615","-0.0048","EURBRL_2019-07-08",EURBRL
"2019-07-05","4.2903","4.2898","4.3056","4.2730","0.0002","EURBRL_2019-07-05",EURBRL
"2019-07-04","4.2895","4.3147","4.3229","4.2665","-0.0062","EURBRL_2019-07-04",EURBRL
"2019-07-03","4.3163","4.3399","4.3726","4.3030","-0.0061","EURBRL_2019-07-03",EURBRL
"2019-07-02","4.3429","4.3353","4.3845","4.3129","0.0020","EURBRL_2019-07-02",EURBRL
"2019-07-01","4.3342","4.3790","4.3805","4.3129","-0.0100","EURBRL_2019-07-01",EURBRL
"2019-06-28","4.3780","4.3427","4.3807","4.3373","0.0082","EURBRL_2019-06-28",EURBRL
"2019-06-27","4.3423","4.3695","4.4020","4.3399","-0.0066","EURBRL_2019-06-27",EURBRL
"2019-06-26","4.3711","4.3728","4.3906","4.3532","-0.0007","EURBRL_2019-06-26",EURBRL
"2019-06-25","4.3741","4.3613","4.3884","4.3509","0.0031","EURBRL_2019-06-25",EURBRL
"2019-06-24","4.3605","4.3422","4.3694","4.3372","0.0043","EURBRL_2019-06-24",EURBRL
"2019-06-21","4.3418","4.3361","4.3576","4.3180","0.0015","EURBRL_2019-06-21",EURBRL
"2019-06-20","4.3354","4.3099","4.3453","4.3093","0.0060","EURBRL_2019-06-20",EURBRL
"2019-06-19","4.3096","4.3218","4.3565","4.3083","-0.0027","EURBRL_2019-06-19",EURBRL
"2019-06-18","4.3212","4.3627","4.3726","4.3079","-0.0094","EURBRL_2019-06-18",EURBRL
"2019-06-17","4.3620","4.3693","4.4028","4.3594","-0.0013","EURBRL_2019-06-17",EURBRL
"2019-06-14","4.3675","4.3422","4.3887","4.3315","0.0063","EURBRL_2019-06-14",EURBRL
"2019-06-13","4.3402","4.3656","4.3722","4.3215","-0.0058","EURBRL_2019-06-13",EURBRL
"2019-06-12","4.3654","4.3696","4.3761","4.3313","-0.0012","EURBRL_2019-06-12",EURBRL
"2019-06-11","4.3708","4.3972","4.4043","4.3537","-0.0062","EURBRL_2019-06-11",EURBRL
"2019-06-10","4.3979","4.3911","4.4066","4.3740","0.0004","EURBRL_2019-06-10",EURBRL
"2019-06-07","4.3960","4.3761","4.4021","4.3605","0.0048","EURBRL_2019-06-07",EURBRL
"2019-06-06","4.3749","4.3552","4.3839","4.3493","0.0046","EURBRL_2019-06-06",EURBRL
"2019-06-05","4.3549","4.3402","4.3811","4.3289","0.0040","EURBRL_2019-06-05",EURBRL
"2019-06-04","4.3375","4.3680","4.3823","4.3304","-0.0070","EURBRL_2019-06-04",EURBRL
"2019-06-03","4.3681","4.3815","4.4004","4.3579","-0.0043","EURBRL_2019-06-03",EURBRL
"2019-05-31","4.3871","4.4344","4.4596","4.3579","-0.0101","EURBRL_2019-05-31",EURBRL
"2019-05-30","4.4319","4.4233","4.4437","4.3990","0.0017","EURBRL_2019-05-30",EURBRL
"2019-05-29","4.4242","4.4924","4.5069","4.4165","-0.0150","EURBRL_2019-05-29",EURBRL
"2019-05-28","4.4917","4.5254","4.5376","4.4787","-0.0077","EURBRL_2019-05-28",EURBRL
"2019-05-27","4.5267","4.5038","4.5292","4.4838","0.0043","EURBRL_2019-05-27",EURBRL
"2019-05-24","4.5071","4.5189","4.5327","4.4938","-0.0022","EURBRL_2019-05-24",EURBRL
"2019-05-23","4.5171","4.5062","4.5316","4.4930","0.0025","EURBRL_2019-05-23",EURBRL
"2019-05-22","4.5059","4.5101","4.5263","4.4735","-0.0004","EURBRL_2019-05-22",EURBRL
