"Date","Price","Open","High","Low","Change","ID","CROSS"
"2019-09-30","1.0878","1.0840","1.0891","1.0833","0.0036","EURCHF_2019-09-30",EURCHF
"2019-09-27","1.0839","1.0852","1.0870","1.0830","-0.0013","EURCHF_2019-09-27",EURCHF
"2019-09-26","1.0853","1.0853","1.0877","1.0842","-0.0001","EURCHF_2019-09-26",EURCHF
"2019-09-25","1.0854","1.0859","1.0871","1.0831","-0.0006","EURCHF_2019-09-25",EURCHF
"2019-09-24","1.0860","1.0882","1.0900","1.0843","-0.0019","EURCHF_2019-09-24",EURCHF
"2019-09-23","1.0881","1.0916","1.0933","1.0856","-0.0033","EURCHF_2019-09-23",EURCHF
"2019-09-20","1.0917","1.0961","1.0973","1.0909","-0.0041","EURCHF_2019-09-20",EURCHF
"2019-09-19","1.0962","1.1002","1.1021","1.0955","-0.0036","EURCHF_2019-09-19",EURCHF
"2019-09-18","1.1002","1.0998","1.1021","1.0983","0.0004","EURCHF_2019-09-18",EURCHF
"2019-09-17","1.0998","1.0920","1.1001","1.0913","0.0070","EURCHF_2019-09-17",EURCHF
"2019-09-16","1.0922","1.0980","1.0981","1.0911","-0.0043","EURCHF_2019-09-16",EURCHF
"2019-09-13","1.0969","1.0958","1.0978","1.0928","0.0011","EURCHF_2019-09-13",EURCHF
"2019-09-12","1.0957","1.0932","1.0973","1.0851","0.0024","EURCHF_2019-09-12",EURCHF
"2019-09-11","1.0931","1.0957","1.0974","1.0910","-0.0023","EURCHF_2019-09-11",EURCHF
"2019-09-10","1.0956","1.0958","1.0970","1.0913","-0.0005","EURCHF_2019-09-10",EURCHF
"2019-09-09","1.0961","1.0894","1.0966","1.0883","0.0065","EURCHF_2019-09-09",EURCHF
"2019-09-06","1.0890","1.0881","1.0934","1.0873","0.0008","EURCHF_2019-09-06",EURCHF
"2019-09-05","1.0881","1.0821","1.0917","1.0817","0.0054","EURCHF_2019-09-05",EURCHF
"2019-09-04","1.0823","1.0829","1.0864","1.0810","-0.0006","EURCHF_2019-09-04",EURCHF
"2019-09-03","1.0829","1.0865","1.0874","1.0818","-0.0034","EURCHF_2019-09-03",EURCHF
"2019-09-02","1.0866","1.0878","1.0899","1.0857","-0.0015","EURCHF_2019-09-02",EURCHF
"2019-08-30","1.0882","1.0909","1.0927","1.0867","-0.0026","EURCHF_2019-08-30",EURCHF
"2019-08-29","1.0910","1.0875","1.0918","1.0857","0.0032","EURCHF_2019-08-29",EURCHF
"2019-08-28","1.0875","1.0885","1.0904","1.0861","-0.0008","EURCHF_2019-08-28",EURCHF
"2019-08-27","1.0884","1.0868","1.0917","1.0856","0.0015","EURCHF_2019-08-27",EURCHF
"2019-08-26","1.0868","1.0865","1.0903","1.0836","0.0006","EURCHF_2019-08-26",EURCHF
"2019-08-23","1.0862","1.0897","1.0929","1.0851","-0.0034","EURCHF_2019-08-23",EURCHF
"2019-08-22","1.0899","1.0891","1.0922","1.0873","0.0007","EURCHF_2019-08-22",EURCHF
"2019-08-21","1.0891","1.0856","1.0900","1.0848","0.0031","EURCHF_2019-08-21",EURCHF
"2019-08-20","1.0857","1.0875","1.0884","1.0842","-0.0017","EURCHF_2019-08-20",EURCHF
"2019-08-19","1.0875","1.0852","1.0901","1.0836","0.0022","EURCHF_2019-08-19",EURCHF
"2019-08-16","1.0851","1.0846","1.0881","1.0839","0.0006","EURCHF_2019-08-16",EURCHF
"2019-08-15","1.0845","1.0841","1.0877","1.0834","0.0002","EURCHF_2019-08-15",EURCHF
"2019-08-14","1.0843","1.0908","1.0917","1.0836","-0.0060","EURCHF_2019-08-14",EURCHF
"2019-08-13","1.0909","1.0869","1.0925","1.0839","0.0039","EURCHF_2019-08-13",EURCHF
"2019-08-12","1.0867","1.0896","1.0906","1.0866","-0.0024","EURCHF_2019-08-12",EURCHF
"2019-08-09","1.0893","1.0899","1.0915","1.0886","-0.0005","EURCHF_2019-08-09",EURCHF
"2019-08-08","1.0898","1.0923","1.0980","1.0896","-0.0023","EURCHF_2019-08-08",EURCHF
"2019-08-07","1.0923","1.0936","1.0962","1.0894","-0.0013","EURCHF_2019-08-07",EURCHF
"2019-08-06","1.0937","1.0906","1.0958","1.0896","0.0029","EURCHF_2019-08-06",EURCHF
"2019-08-05","1.0905","1.0904","1.0932","1.0860","-0.0005","EURCHF_2019-08-05",EURCHF
"2019-08-02","1.0911","1.0977","1.0981","1.0905","-0.0061","EURCHF_2019-08-02",EURCHF
"2019-08-01","1.0978","1.1010","1.1024","1.0966","-0.0029","EURCHF_2019-08-01",EURCHF
"2019-07-31","1.1010","1.1047","1.1064","1.0993","-0.0033","EURCHF_2019-07-31",EURCHF
"2019-07-30","1.1047","1.1053","1.1059","1.1029","-0.0003","EURCHF_2019-07-30",EURCHF
"2019-07-29","1.1050","1.1053","1.1059","1.1020","-0.0005","EURCHF_2019-07-29",EURCHF
"2019-07-26","1.1055","1.1045","1.1066","1.1037","0.0009","EURCHF_2019-07-26",EURCHF
"2019-07-25","1.1045","1.0971","1.1058","1.0960","0.0067","EURCHF_2019-07-25",EURCHF
"2019-07-24","1.0971","1.0989","1.1007","1.0967","-0.0016","EURCHF_2019-07-24",EURCHF
"2019-07-23","1.0989","1.1009","1.1023","1.0970","-0.0017","EURCHF_2019-07-23",EURCHF
"2019-07-22","1.1008","1.1013","1.1038","1.0997","-0.0009","EURCHF_2019-07-22",EURCHF
"2019-07-19","1.1018","1.1067","1.1087","1.1012","-0.0043","EURCHF_2019-07-19",EURCHF
"2019-07-18","1.1066","1.1082","1.1093","1.1058","-0.0015","EURCHF_2019-07-18",EURCHF
"2019-07-17","1.1083","1.1075","1.1114","1.1067","0.0006","EURCHF_2019-07-17",EURCHF
"2019-07-16","1.1076","1.1084","1.1098","1.1057","-0.0007","EURCHF_2019-07-16",EURCHF
"2019-07-15","1.1084","1.1091","1.1103","1.1062","-0.0008","EURCHF_2019-07-15",EURCHF
"2019-07-12","1.1093","1.1144","1.1158","1.1071","-0.0045","EURCHF_2019-07-12",EURCHF
"2019-07-11","1.1143","1.1134","1.1151","1.1103","0.0008","EURCHF_2019-07-11",EURCHF
"2019-07-10","1.1134","1.1136","1.1149","1.1118","-0.0002","EURCHF_2019-07-10",EURCHF
"2019-07-09","1.1136","1.1148","1.1162","1.1121","-0.0008","EURCHF_2019-07-09",EURCHF
"2019-07-08","1.1145","1.1131","1.1155","1.1111","0.0012","EURCHF_2019-07-08",EURCHF
"2019-07-05","1.1132","1.1116","1.1155","1.1108","0.0013","EURCHF_2019-07-05",EURCHF
"2019-07-04","1.1118","1.1127","1.1140","1.1105","-0.0009","EURCHF_2019-07-04",EURCHF
"2019-07-03","1.1128","1.1129","1.1140","1.1105","-0.0003","EURCHF_2019-07-03",EURCHF
"2019-07-02","1.1131","1.1150","1.1176","1.1123","-0.0013","EURCHF_2019-07-02",EURCHF
"2019-07-01","1.1145","1.1099","1.1163","1.1094","0.0041","EURCHF_2019-07-01",EURCHF
"2019-06-28","1.1099","1.1105","1.1127","1.1081","-0.0004","EURCHF_2019-06-28",EURCHF
"2019-06-27","1.1103","1.1120","1.1152","1.1095","-0.0015","EURCHF_2019-06-27",EURCHF
"2019-06-26","1.1120","1.1086","1.1127","1.1073","0.0030","EURCHF_2019-06-26",EURCHF
"2019-06-25","1.1087","1.1081","1.1127","1.1061","0.0006","EURCHF_2019-06-25",EURCHF
