"Date","Price","Open","High","Low","Change","ID","CROSS"
"2019-09-30","7.4663","7.4662","7.4712","7.4625","0.0001","EURDKK_2019-09-30",EURDKK
"2019-09-27","7.4653","7.4665","7.4699","7.4629","-0.0003","EURDKK_2019-09-27",EURDKK
"2019-09-26","7.4679","7.4641","7.4697","7.4614","0.0003","EURDKK_2019-09-26",EURDKK
"2019-09-25","7.4655","7.4665","7.4703","7.4623","0.0000","EURDKK_2019-09-25",EURDKK
"2019-09-24","7.4658","7.4664","7.4705","7.4632","0.0000","EURDKK_2019-09-24",EURDKK
"2019-09-23","7.4658","7.4661","7.4710","7.4570","-0.0003","EURDKK_2019-09-23",EURDKK
"2019-09-20","7.4681","7.4674","7.4711","7.4638","0.0002","EURDKK_2019-09-20",EURDKK
"2019-09-19","7.4668","7.4687","7.4712","7.4639","-0.0002","EURDKK_2019-09-19",EURDKK
"2019-09-18","7.4681","7.4680","7.4748","7.4556","0.0001","EURDKK_2019-09-18",EURDKK
"2019-09-17","7.4677","7.4650","7.4719","7.4638","0.0001","EURDKK_2019-09-17",EURDKK
"2019-09-16","7.4667","7.4689","7.4768","7.4649","-0.0001","EURDKK_2019-09-16",EURDKK
"2019-09-13","7.4677","7.4643","7.4726","7.4607","0.0006","EURDKK_2019-09-13",EURDKK
"2019-09-12","7.4631","7.4613","7.4942","7.4523","0.0003","EURDKK_2019-09-12",EURDKK
"2019-09-11","7.4606","7.4611","7.4648","7.4556","-0.0001","EURDKK_2019-09-11",EURDKK
"2019-09-10","7.4614","7.4593","7.4648","7.4562","0.0002","EURDKK_2019-09-10",EURDKK
"2019-09-09","7.4596","7.4639","7.4643","7.4569","-0.0004","EURDKK_2019-09-09",EURDKK
"2019-09-06","7.4625","7.4606","7.4675","7.4573","0.0002","EURDKK_2019-09-06",EURDKK
"2019-09-05","7.4607","7.4584","7.4646","7.4562","0.0002","EURDKK_2019-09-05",EURDKK
"2019-09-04","7.4591","7.4573","7.4625","7.4547","0.0003","EURDKK_2019-09-04",EURDKK
"2019-09-03","7.4570","7.4544","7.4646","7.4501","0.0003","EURDKK_2019-09-03",EURDKK
"2019-09-02","7.4546","7.4547","7.4611","7.4520","-0.0002","EURDKK_2019-09-02",EURDKK
"2019-08-30","7.4563","7.4563","7.4609","7.4525","0.0000","EURDKK_2019-08-30",EURDKK
"2019-08-29","7.4563","7.4558","7.4632","7.4508","0.0000","EURDKK_2019-08-29",EURDKK
"2019-08-28","7.4561","7.4570","7.4603","7.4540","-0.0002","EURDKK_2019-08-28",EURDKK
"2019-08-27","7.4576","7.4569","7.4615","7.4535","0.0001","EURDKK_2019-08-27",EURDKK
"2019-08-26","7.4569","7.4597","7.4655","7.4520","-0.0001","EURDKK_2019-08-26",EURDKK
"2019-08-23","7.4578","7.4550","7.4611","7.4506","0.0003","EURDKK_2019-08-23",EURDKK
"2019-08-22","7.4558","7.4544","7.4608","7.4516","0.0001","EURDKK_2019-08-22",EURDKK
"2019-08-21","7.4554","7.4570","7.4661","7.4527","-0.0001","EURDKK_2019-08-21",EURDKK
"2019-08-20","7.4558","7.4561","7.4615","7.4524","-0.0002","EURDKK_2019-08-20",EURDKK
"2019-08-19","7.4572","7.4526","7.4622","7.4526","0.0001","EURDKK_2019-08-19",EURDKK
"2019-08-16","7.4567","7.4584","7.4626","7.4542","-0.0003","EURDKK_2019-08-16",EURDKK
"2019-08-15","7.4587","7.4603","7.4640","7.4503","-0.0001","EURDKK_2019-08-15",EURDKK
"2019-08-14","7.4595","7.4619","7.4660","7.4557","-0.0005","EURDKK_2019-08-14",EURDKK
"2019-08-13","7.4629","7.4647","7.4713","7.4596","-0.0001","EURDKK_2019-08-13",EURDKK
"2019-08-12","7.4637","7.4653","7.4675","7.4583","0.0001","EURDKK_2019-08-12",EURDKK
"2019-08-09","7.4629","7.4624","7.4673","7.4586","0.0001","EURDKK_2019-08-09",EURDKK
"2019-08-08","7.4618","7.4607","7.4843","7.4581","0.0000","EURDKK_2019-08-08",EURDKK
"2019-08-07","7.4617","7.4641","7.4684","7.4598","-0.0004","EURDKK_2019-08-07",EURDKK
"2019-08-06","7.4648","7.4637","7.4685","7.4600","0.0002","EURDKK_2019-08-06",EURDKK
"2019-08-05","7.4633","7.4644","7.4701","7.4599","-0.0004","EURDKK_2019-08-05",EURDKK
"2019-08-02","7.4665","7.4666","7.4710","7.4613","0.0000","EURDKK_2019-08-02",EURDKK
"2019-08-01","7.4666","7.4674","7.4713","7.4626","-0.0001","EURDKK_2019-08-01",EURDKK
"2019-07-31","7.4674","7.4677","7.4749","7.4608","0.0000","EURDKK_2019-07-31",EURDKK
"2019-07-30","7.4677","7.4680","7.4712","7.4643","0.0001","EURDKK_2019-07-30",EURDKK
"2019-07-29","7.4670","7.4671","7.4702","7.4635","0.0001","EURDKK_2019-07-29",EURDKK
"2019-07-26","7.4665","7.4668","7.4710","7.4629","0.0000","EURDKK_2019-07-26",EURDKK
"2019-07-25","7.4664","7.4652","7.4733","7.4606","0.0001","EURDKK_2019-07-25",EURDKK
"2019-07-24","7.4657","7.4642","7.4695","7.4544","0.0000","EURDKK_2019-07-24",EURDKK
"2019-07-23","7.4657","7.4658","7.4691","7.4633","-0.0001","EURDKK_2019-07-23",EURDKK
"2019-07-22","7.4661","7.4647","7.4693","7.4637","0.0002","EURDKK_2019-07-22",EURDKK
"2019-07-19","7.4646","7.4660","7.4699","7.4626","-0.0003","EURDKK_2019-07-19",EURDKK
"2019-07-18","7.4668","7.4685","7.4722","7.4643","-0.0001","EURDKK_2019-07-18",EURDKK
"2019-07-17","7.4676","7.4673","7.4710","7.4638","0.0000","EURDKK_2019-07-17",EURDKK
"2019-07-16","7.4676","7.4674","7.4708","7.4610","0.0000","EURDKK_2019-07-16",EURDKK
"2019-07-15","7.4674","7.4642","7.4702","7.4622","0.0000","EURDKK_2019-07-15",EURDKK
"2019-07-12","7.4673","7.4679","7.4706","7.4650","-0.0001","EURDKK_2019-07-12",EURDKK
"2019-07-11","7.4678","7.4633","7.4784","7.4626","0.0005","EURDKK_2019-07-11",EURDKK
"2019-07-10","7.4639","7.4654","7.4694","7.4615","-0.0001","EURDKK_2019-07-10",EURDKK
"2019-07-09","7.4643","7.4629","7.4662","7.4592","0.0004","EURDKK_2019-07-09",EURDKK
"2019-07-08","7.4615","7.4632","7.4653","7.4595","-0.0001","EURDKK_2019-07-08",EURDKK
"2019-07-05","7.4624","7.4630","7.4778","7.4601","-0.0002","EURDKK_2019-07-05",EURDKK
"2019-07-04","7.4636","7.4624","7.4664","7.4592","0.0001","EURDKK_2019-07-04",EURDKK
"2019-07-03","7.4630","7.4639","7.4673","7.4600","-0.0001","EURDKK_2019-07-03",EURDKK
"2019-07-02","7.4641","7.4642","7.4709","7.4611","0.0000","EURDKK_2019-07-02",EURDKK
"2019-07-01","7.4638","7.4624","7.4687","7.4547","0.0000","EURDKK_2019-07-01",EURDKK
"2019-06-28","7.4636","7.4640","7.4677","7.4609","-0.0001","EURDKK_2019-06-28",EURDKK
"2019-06-27","7.4643","7.4636","7.4714","7.4603","-0.0001","EURDKK_2019-06-27",EURDKK
"2019-06-26","7.4649","7.4648","7.4684","7.4610","-0.0001","EURDKK_2019-06-26",EURDKK
"2019-06-25","7.4653","7.4682","7.4713","7.4571","-0.0002","EURDKK_2019-06-25",EURDKK
"2019-06-24","7.4668","7.4625","7.4698","7.4625","0.0000","EURDKK_2019-06-24",EURDKK
"2019-06-21","7.4665","7.4661","7.4763","7.4596","0.0000","EURDKK_2019-06-21",EURDKK
"2019-06-20","7.4667","7.4670","7.4703","7.4630","0.0000","EURDKK_2019-06-20",EURDKK
"2019-06-19","7.4667","7.4672","7.4759","7.4602","-0.0001","EURDKK_2019-06-19",EURDKK
"2019-06-18","7.4674","7.4673","7.4767","7.4604","0.0000","EURDKK_2019-06-18",EURDKK
"2019-06-17","7.4672","7.4688","7.4732","7.4643","-0.0001","EURDKK_2019-06-17",EURDKK
"2019-06-14","7.4680","7.4683","7.4743","7.4591","0.0000","EURDKK_2019-06-14",EURDKK
"2019-06-13","7.4681","7.4673","7.4716","7.4649","-0.0001","EURDKK_2019-06-13",EURDKK
"2019-06-12","7.4689","7.4715","7.4754","7.4652","-0.0004","EURDKK_2019-06-12",EURDKK
"2019-06-11","7.4717","7.4695","7.4756","7.4657","0.0001","EURDKK_2019-06-11",EURDKK
"2019-06-10","7.4707","7.4607","7.4748","7.4535","0.0005","EURDKK_2019-06-10",EURDKK
"2019-06-07","7.4666","7.4684","7.4851","7.4642","-0.0001","EURDKK_2019-06-07",EURDKK
"2019-06-06","7.4673","7.4742","7.4748","7.4600","-0.0001","EURDKK_2019-06-06",EURDKK
"2019-06-05","7.4684","7.4696","7.4765","7.4637","0.0001","EURDKK_2019-06-05",EURDKK
"2019-06-04","7.4680","7.4680","7.4734","7.4623","0.0001","EURDKK_2019-06-04",EURDKK
"2019-06-03","7.4676","7.4673","7.4736","7.4609","-0.0014","EURDKK_2019-06-03",EURDKK
"2019-05-31","7.4778","7.4700","7.4778","7.4652","0.0013","EURDKK_2019-05-31",EURDKK
"2019-05-30","7.4684","7.4656","7.4741","7.4640","0.0003","EURDKK_2019-05-30",EURDKK
"2019-05-29","7.4660","7.4672","7.4738","7.4627","-0.0001","EURDKK_2019-05-29",EURDKK
"2019-05-28","7.4665","7.4713","7.4752","7.4616","-0.0007","EURDKK_2019-05-28",EURDKK
"2019-05-27","7.4719","7.4688","7.4790","7.4622","0.0006","EURDKK_2019-05-27",EURDKK
"2019-05-24","7.4673","7.4699","7.4737","7.4634","-0.0001","EURDKK_2019-05-24",EURDKK
"2019-05-23","7.4681","7.4692","7.4748","7.4633","-0.0001","EURDKK_2019-05-23",EURDKK
"2019-05-22","7.4688","7.4736","7.4748","7.4646","-0.0001","EURDKK_2019-05-22",EURDKK
