"Date","Price","Open","High","Low","Change","ID","CROSS"
"2019-09-30","0.8868","0.8903","0.8910","0.8831","-0.0037","EURGBP_2019-09-30",EURGBP
"2019-09-27","0.8901","0.8861","0.8905","0.8844","0.0043","EURGBP_2019-09-27",EURGBP
"2019-09-26","0.8863","0.8859","0.8888","0.8842","0.0003","EURGBP_2019-09-26",EURGBP
"2019-09-25","0.8860","0.8823","0.8884","0.8814","0.0042","EURGBP_2019-09-25",EURGBP
"2019-09-24","0.8823","0.8844","0.8855","0.8802","-0.0023","EURGBP_2019-09-24",EURGBP
"2019-09-23","0.8843","0.8832","0.8859","0.8814","0.0016","EURGBP_2019-09-23",EURGBP
"2019-09-20","0.8829","0.8811","0.8846","0.8785","0.0015","EURGBP_2019-09-20",EURGBP
"2019-09-19","0.8816","0.8843","0.8894","0.8803","-0.0031","EURGBP_2019-09-19",EURGBP
"2019-09-18","0.8843","0.8858","0.8883","0.8821","-0.0017","EURGBP_2019-09-18",EURGBP
"2019-09-17","0.8858","0.8845","0.8891","0.8839","0.0008","EURGBP_2019-09-17",EURGBP
"2019-09-16","0.8851","0.8861","0.8904","0.8845","-0.0009","EURGBP_2019-09-16",EURGBP
"2019-09-13","0.8859","0.8969","0.8977","0.8856","-0.0124","EURGBP_2019-09-13",EURGBP
"2019-09-12","0.8970","0.8932","0.8981","0.8884","0.0044","EURGBP_2019-09-12",EURGBP
"2019-09-11","0.8931","0.8944","0.8953","0.8903","-0.0013","EURGBP_2019-09-11",EURGBP
"2019-09-10","0.8943","0.8946","0.8974","0.8920","-0.0006","EURGBP_2019-09-10",EURGBP
"2019-09-09","0.8948","0.8964","0.9016","0.8903","-0.0036","EURGBP_2019-09-09",EURGBP
"2019-09-06","0.8980","0.8946","0.8988","0.8942","0.0037","EURGBP_2019-09-06",EURGBP
"2019-09-05","0.8947","0.9005","0.9031","0.8946","-0.0068","EURGBP_2019-09-05",EURGBP
"2019-09-04","0.9008","0.9081","0.9087","0.9002","-0.0079","EURGBP_2019-09-04",EURGBP
"2019-09-03","0.9080","0.9090","0.9150","0.9053","-0.0010","EURGBP_2019-09-03",EURGBP
"2019-09-02","0.9089","0.9050","0.9113","0.9026","0.0054","EURGBP_2019-09-02",EURGBP
"2019-08-30","0.9040","0.9079","0.9085","0.9019","-0.0034","EURGBP_2019-08-30",EURGBP
"2019-08-29","0.9071","0.9073","0.9096","0.9052","-0.0001","EURGBP_2019-08-29",EURGBP
"2019-08-28","0.9072","0.9024","0.9123","0.9022","0.0052","EURGBP_2019-08-28",EURGBP
"2019-08-27","0.9025","0.9085","0.9095","0.9014","-0.0067","EURGBP_2019-08-27",EURGBP
"2019-08-26","0.9086","0.9096","0.9113","0.9062","0.0011","EURGBP_2019-08-26",EURGBP
"2019-08-23","0.9076","0.9042","0.9095","0.9032","0.0036","EURGBP_2019-08-23",EURGBP
"2019-08-22","0.9043","0.9140","0.9159","0.9027","-0.0106","EURGBP_2019-08-22",EURGBP
"2019-08-21","0.9140","0.9120","0.9164","0.9115","0.0021","EURGBP_2019-08-21",EURGBP
"2019-08-20","0.9121","0.9136","0.9186","0.9099","-0.0015","EURGBP_2019-08-20",EURGBP
"2019-08-19","0.9135","0.9128","0.9172","0.9112","0.0009","EURGBP_2019-08-19",EURGBP
"2019-08-16","0.9127","0.9190","0.9197","0.9089","-0.0069","EURGBP_2019-08-16",EURGBP
"2019-08-15","0.9190","0.9234","0.9253","0.9151","-0.0049","EURGBP_2019-08-15",EURGBP
"2019-08-14","0.9235","0.9263","0.9277","0.9227","-0.0030","EURGBP_2019-08-14",EURGBP
"2019-08-13","0.9263","0.9286","0.9298","0.9240","-0.0025","EURGBP_2019-08-13",EURGBP
"2019-08-12","0.9286","0.9307","0.9327","0.9247","-0.0025","EURGBP_2019-08-12",EURGBP
"2019-08-09","0.9309","0.9216","0.9319","0.9207","0.0102","EURGBP_2019-08-09",EURGBP
"2019-08-08","0.9215","0.9224","0.9269","0.9206","-0.0010","EURGBP_2019-08-08",EURGBP
"2019-08-07","0.9224","0.9204","0.9254","0.9188","0.0022","EURGBP_2019-08-07",EURGBP
"2019-08-06","0.9204","0.9227","0.9253","0.9155","-0.0024","EURGBP_2019-08-06",EURGBP
"2019-08-05","0.9226","0.9146","0.9230","0.9124","0.0095","EURGBP_2019-08-05",EURGBP
"2019-08-02","0.9139","0.9136","0.9172","0.9126","0.0003","EURGBP_2019-08-02",EURGBP
"2019-08-01","0.9136","0.9109","0.9151","0.9095","0.0030","EURGBP_2019-08-01",EURGBP
"2019-07-31","0.9109","0.9180","0.9184","0.9087","-0.0077","EURGBP_2019-07-31",EURGBP
"2019-07-30","0.9180","0.9121","0.9191","0.9114","0.0065","EURGBP_2019-07-30",EURGBP
"2019-07-29","0.9121","0.8983","0.9125","0.8981","0.0150","EURGBP_2019-07-29",EURGBP
"2019-07-26","0.8986","0.8946","0.8991","0.8944","0.0048","EURGBP_2019-07-26",EURGBP
"2019-07-25","0.8943","0.8923","0.8962","0.8890","0.0022","EURGBP_2019-07-25",EURGBP
"2019-07-24","0.8923","0.8966","0.8970","0.8903","-0.0048","EURGBP_2019-07-24",EURGBP
"2019-07-23","0.8966","0.8983","0.9006","0.8951","-0.0020","EURGBP_2019-07-23",EURGBP
"2019-07-22","0.8984","0.8972","0.9003","0.8959","0.0009","EURGBP_2019-07-22",EURGBP
"2019-07-19","0.8976","0.8984","0.9000","0.8955","-0.0010","EURGBP_2019-07-19",EURGBP
"2019-07-18","0.8985","0.9029","0.9042","0.8979","-0.0048","EURGBP_2019-07-18",EURGBP
"2019-07-17","0.9028","0.9034","0.9052","0.9013","-0.0009","EURGBP_2019-07-17",EURGBP
"2019-07-16","0.9036","0.8998","0.9052","0.8994","0.0046","EURGBP_2019-07-16",EURGBP
"2019-07-15","0.8995","0.8961","0.9002","0.8955","0.0036","EURGBP_2019-07-15",EURGBP
"2019-07-12","0.8963","0.8990","0.8992","0.8955","-0.0029","EURGBP_2019-07-12",EURGBP
"2019-07-11","0.8989","0.9001","0.9008","0.8964","-0.0013","EURGBP_2019-07-11",EURGBP
"2019-07-10","0.9001","0.8990","0.9012","0.8982","0.0012","EURGBP_2019-07-10",EURGBP
"2019-07-09","0.8990","0.8963","0.9004","0.8956","0.0031","EURGBP_2019-07-09",EURGBP
"2019-07-08","0.8962","0.8969","0.8978","0.8952","-0.0001","EURGBP_2019-07-08",EURGBP
"2019-07-05","0.8963","0.8971","0.8986","0.8957","-0.0009","EURGBP_2019-07-05",EURGBP
"2019-07-04","0.8971","0.8972","0.8980","0.8961","0.0001","EURGBP_2019-07-04",EURGBP
