"Date","Price","Open","High","Low","Change","ID","CROSS"
"2019-09-30","3.9695","4.0076","4.0102","3.9640","-0.0034","EURQAR_2019-09-30",EURQAR
"2019-09-27","3.9829","3.9777","4.0072","3.9707","0.0014","EURQAR_2019-09-27",EURQAR
"2019-09-26","3.9775","3.9848","4.0141","3.9714","-0.0019","EURQAR_2019-09-26",EURQAR
"2019-09-25","3.9852","4.0132","4.0372","3.9833","-0.0070","EURQAR_2019-09-25",EURQAR
"2019-09-24","4.0132","4.0037","4.0302","3.9984","0.0024","EURQAR_2019-09-24",EURQAR
"2019-09-23","4.0034","4.0117","4.0352","3.9919","-0.0023","EURQAR_2019-09-23",EURQAR
"2019-09-20","4.0125","4.0209","4.0496","4.0024","-0.0021","EURQAR_2019-09-20",EURQAR
"2019-09-19","4.0209","4.0164","4.0485","4.0140","0.0010","EURQAR_2019-09-19",EURQAR
"2019-09-18","4.0168","4.0373","4.0523","4.0107","-0.0074","EURQAR_2019-09-18",EURQAR
"2019-09-17","4.0469","4.0152","4.0575","4.0099","0.0100","EURQAR_2019-09-17",EURQAR
"2019-09-16","4.0067","4.0376","4.0598","4.0021","-0.0119","EURQAR_2019-09-16",EURQAR
"2019-09-13","4.0549","4.0408","4.0800","4.0397","0.0067","EURQAR_2019-09-13",EURQAR
"2019-09-12","4.0281","4.0107","4.0580","3.9785","0.0046","EURQAR_2019-09-12",EURQAR
"2019-09-11","4.0095","4.0220","4.0498","3.9985","-0.0030","EURQAR_2019-09-11",EURQAR
"2019-09-10","4.0217","4.0225","4.0485","4.0150","-0.0004","EURQAR_2019-09-10",EURQAR
"2019-09-09","4.0234","4.0351","4.0513","4.0101","0.0019","EURQAR_2019-09-09",EURQAR
"2019-09-06","4.0156","4.0179","4.0473","4.0125","-0.0006","EURQAR_2019-09-06",EURQAR
"2019-09-05","4.0179","4.0175","4.0568","4.0110","-0.0001","EURQAR_2019-09-05",EURQAR
"2019-09-04","4.0182","3.9956","4.0396","3.9949","0.0057","EURQAR_2019-09-04",EURQAR
"2019-09-03","3.9956","4.0179","4.0201","3.9781","0.0005","EURQAR_2019-09-03",EURQAR
"2019-09-02","3.9935","4.0031","4.0278","3.9899","-0.0023","EURQAR_2019-09-02",EURQAR
"2019-08-30","4.0027","4.0271","4.0477","3.9924","-0.0060","EURQAR_2019-08-30",EURQAR
"2019-08-29","4.0267","4.0321","4.0583","4.0212","-0.0016","EURQAR_2019-08-29",EURQAR
"2019-08-28","4.0331","4.0392","4.0630","4.0313","-0.0014","EURQAR_2019-08-28",EURQAR
"2019-08-27","4.0389","4.0428","4.0634","4.0366","-0.0010","EURQAR_2019-08-27",EURQAR
"2019-08-26","4.0431","4.0595","4.0828","4.0402","-0.0037","EURQAR_2019-08-26",EURQAR
"2019-08-23","4.0583","4.0543","4.0826","4.0232","0.0010","EURQAR_2019-08-23",EURQAR
"2019-08-22","4.0544","4.0370","4.0592","4.0277","0.0043","EURQAR_2019-08-22",EURQAR
"2019-08-21","4.0369","4.0423","4.0637","4.0354","-0.0014","EURQAR_2019-08-21",EURQAR
"2019-08-20","4.0425","4.0543","4.0605","4.0292","-0.0030","EURQAR_2019-08-20",EURQAR
"2019-08-19","4.0545","4.0389","4.0643","4.0366","0.0040","EURQAR_2019-08-19",EURQAR
"2019-08-16","4.0385","4.0533","4.0676","4.0314","-0.0055","EURQAR_2019-08-16",EURQAR
"2019-08-15","4.0607","4.0716","4.0898","4.0548","-0.0030","EURQAR_2019-08-15",EURQAR
"2019-08-14","4.0729","4.0763","4.1040","4.0640","-0.0038","EURQAR_2019-08-14",EURQAR
"2019-08-13","4.0884","4.0910","4.1071","4.0706","-0.0030","EURQAR_2019-08-13",EURQAR
"2019-08-12","4.1006","4.0896","4.1152","4.0733","0.0054","EURQAR_2019-08-12",EURQAR
"2019-08-09","4.0785","4.0796","4.1082","4.0714","-0.0023","EURQAR_2019-08-09",EURQAR
"2019-08-08","4.0880","4.0870","4.1140","4.0804","0.0024","EURQAR_2019-08-08",EURQAR
"2019-08-07","4.0784","4.0767","4.1127","4.0698","0.0001","EURQAR_2019-08-07",EURQAR
"2019-08-06","4.0780","4.0790","4.1053","4.0663","-0.0001","EURQAR_2019-08-06",EURQAR
"2019-08-05","4.0785","4.0446","4.0968","4.0427","0.0081","EURQAR_2019-08-05",EURQAR
"2019-08-02","4.0456","4.0369","4.0664","4.0298","0.0022","EURQAR_2019-08-02",EURQAR
"2019-08-01","4.0369","4.0336","4.0536","4.0141","0.0008","EURQAR_2019-08-01",EURQAR
"2019-07-31","4.0336","4.0624","4.0835","4.0261","-0.0071","EURQAR_2019-07-31",EURQAR
"2019-07-30","4.0624","4.0574","4.0624","4.0523","0.0009","EURQAR_2019-07-30",EURQAR
"2019-07-29","4.0586","4.0503","4.0586","4.0449","0.0016","EURQAR_2019-07-29",EURQAR
"2019-07-26","4.0522","4.0590","4.0797","4.0465","-0.0018","EURQAR_2019-07-26",EURQAR
"2019-07-25","4.0595","4.0553","4.0827","4.0411","0.0006","EURQAR_2019-07-25",EURQAR
"2019-07-24","4.0569","4.0597","4.0812","4.0502","-0.0012","EURQAR_2019-07-24",EURQAR
"2019-07-23","4.0617","4.0824","4.1025","4.0572","-0.0051","EURQAR_2019-07-23",EURQAR
"2019-07-22","4.0824","4.0853","4.1053","4.0796","-0.0008","EURQAR_2019-07-22",EURQAR
"2019-07-19","4.0857","4.1056","4.1281","4.0790","-0.0048","EURQAR_2019-07-19",EURQAR
"2019-07-18","4.1056","4.0868","4.1139","4.0794","0.0047","EURQAR_2019-07-18",EURQAR
"2019-07-17","4.0864","4.0813","4.1097","4.0773","0.0012","EURQAR_2019-07-17",EURQAR
"2019-07-16","4.0816","4.0991","4.1207","4.0784","-0.0042","EURQAR_2019-07-16",EURQAR
"2019-07-15","4.0987","4.1032","4.1247","4.0967","-0.0059","EURQAR_2019-07-15",EURQAR
"2019-07-12","4.1229","4.0974","4.1248","4.0912","0.0062","EURQAR_2019-07-12",EURQAR
"2019-07-11","4.0976","4.1115","4.1263","4.0940","-0.0041","EURQAR_2019-07-11",EURQAR
"2019-07-10","4.1143","4.0850","4.1234","4.0811","0.0080","EURQAR_2019-07-10",EURQAR
"2019-07-09","4.0817","4.1025","4.1042","4.0749","-0.0050","EURQAR_2019-07-09",EURQAR
"2019-07-08","4.1021","4.0874","4.1089","4.0810","0.0035","EURQAR_2019-07-08",EURQAR
"2019-07-05","4.0879","4.1097","4.1279","4.0796","-0.0053","EURQAR_2019-07-05",EURQAR
"2019-07-04","4.1098","4.1068","4.1288","4.1039","0.0007","EURQAR_2019-07-04",EURQAR
"2019-07-03","4.1071","4.1076","4.1307","4.1018","-0.0004","EURQAR_2019-07-03",EURQAR
"2019-07-02","4.1089","4.1098","4.1356","4.1056","-0.0001","EURQAR_2019-07-02",EURQAR
"2019-07-01","4.1094","4.1402","4.1539","4.1071","-0.0074","EURQAR_2019-07-01",EURQAR
"2019-06-28","4.1399","4.1604","4.1638","4.1334","-0.0047","EURQAR_2019-06-28",EURQAR
"2019-06-27","4.1596","4.1400","4.1620","4.1307","0.0046","EURQAR_2019-06-27",EURQAR
"2019-06-26","4.1405","4.1394","4.1671","4.1307","0.0003","EURQAR_2019-06-26",EURQAR
"2019-06-25","4.1392","4.1509","4.1733","4.1302","-0.0028","EURQAR_2019-06-25",EURQAR
"2019-06-24","4.1509","4.1366","4.1689","4.1366","0.0027","EURQAR_2019-06-24",EURQAR
"2019-06-21","4.1397","4.1268","4.1596","4.1079","0.0023","EURQAR_2019-06-21",EURQAR
"2019-06-20","4.1304","4.0907","4.1387","4.0907","0.0104","EURQAR_2019-06-20",EURQAR
"2019-06-19","4.0877","4.0752","4.1029","4.0728","0.0029","EURQAR_2019-06-19",EURQAR
"2019-06-18","4.0757","4.0846","4.1139","4.0708","-0.0021","EURQAR_2019-06-18",EURQAR
"2019-06-17","4.0842","4.0829","4.1110","4.0787","0.0007","EURQAR_2019-06-17",EURQAR
"2019-06-14","4.0815","4.1081","4.1284","4.0789","-0.0060","EURQAR_2019-06-14",EURQAR
"2019-06-13","4.1063","4.1105","4.1341","4.1029","-0.0011","EURQAR_2019-06-13",EURQAR
"2019-06-12","4.1108","4.1242","4.1476","4.1082","-0.0037","EURQAR_2019-06-12",EURQAR
"2019-06-11","4.1261","4.1192","4.1402","4.1155","0.0015","EURQAR_2019-06-11",EURQAR
"2019-06-10","4.1199","4.1239","4.1396","4.1106","-0.0017","EURQAR_2019-06-10",EURQAR
"2019-06-07","4.1269","4.1062","4.1444","4.0968","0.0051","EURQAR_2019-06-07",EURQAR
"2019-06-06","4.1059","4.0888","4.1292","4.0832","0.0049","EURQAR_2019-06-06",EURQAR
"2019-06-05","4.0858","4.1094","4.1227","4.0850","-0.0066","EURQAR_2019-06-05",EURQAR
"2019-06-04","4.1129","4.0964","4.1258","4.0916","0.0048","EURQAR_2019-06-04",EURQAR
"2019-06-03","4.0931","4.0664","4.1011","4.0613","0.0050","EURQAR_2019-06-03",EURQAR
"2019-05-31","4.0728","4.0549","4.0835","4.0499","0.0048","EURQAR_2019-05-31",EURQAR
"2019-05-30","4.0534","4.0514","4.0751","4.0456","0.0000","EURQAR_2019-05-30",EURQAR
"2019-05-29","4.0536","4.0649","4.0859","4.0498","-0.0027","EURQAR_2019-05-29",EURQAR
"2019-05-28","4.0644","4.0778","4.0975","4.0616","-0.0034","EURQAR_2019-05-28",EURQAR
"2019-05-27","4.0782","4.0758","4.1018","4.0725","-0.0005","EURQAR_2019-05-27",EURQAR
"2019-05-24","4.0801","4.0721","4.1030","4.0690","0.0022","EURQAR_2019-05-24",EURQAR
"2019-05-23","4.0711","4.0729","4.0877","4.0441","-0.0021","EURQAR_2019-05-23",EURQAR
"2019-05-22","4.0795","4.0715","4.0910","4.0636","0.0038","EURQAR_2019-05-22",EURQAR
"2019-05-21","4.0639","4.0694","4.0892","4.0568","-0.0010","EURQAR_2019-05-21",EURQAR
"2019-05-20","4.0680","4.0620","4.0872","4.0591","0.0010","EURQAR_2019-05-20",EURQAR
"2019-05-17","4.0638","4.0840","4.0901","4.0596","-0.0055","EURQAR_2019-05-17",EURQAR
"2019-05-16","4.0864","4.0827","4.1076","4.0688","0.0017","EURQAR_2019-05-16",EURQAR
"2019-05-15","4.0795","4.0831","4.1063","4.0693","-0.0009","EURQAR_2019-05-15",EURQAR
"2019-05-14","4.0833","4.0869","4.1149","4.0793","-0.0009","EURQAR_2019-05-14",EURQAR
"2019-05-13","4.0869","4.0939","4.1145","4.0818","-0.0010","EURQAR_2019-05-13",EURQAR
"2019-05-10","4.0910","4.0841","4.1170","4.0827","0.0018","EURQAR_2019-05-10",EURQAR
"2019-05-09","4.0835","4.0751","4.1109","4.0678","0.0022","EURQAR_2019-05-09",EURQAR
"2019-05-08","4.0746","4.0743","4.1033","4.0709","-0.0001","EURQAR_2019-05-08",EURQAR
"2019-05-07","4.0749","4.0769","4.1046","4.0655","-0.0006","EURQAR_2019-05-07",EURQAR
"2019-05-06","4.0773","4.0788","4.0998","4.0630","-0.0004","EURQAR_2019-05-06",EURQAR
"2019-05-03","4.0789","4.0701","4.0946","4.0540","0.0022","EURQAR_2019-05-03",EURQAR
"2019-05-02","4.0698","4.0792","4.1030","4.0672","-0.0017","EURQAR_2019-05-02",EURQAR
"2019-05-01","4.0767","4.0835","4.1147","4.0732","-0.0016","EURQAR_2019-05-01",EURQAR
"2019-04-30","4.0831","4.0725","4.1007","4.0685","0.0026","EURQAR_2019-04-30",EURQAR
"2019-04-29","4.0725","4.0609","4.0857","4.0561","0.0031","EURQAR_2019-04-29",EURQAR
"2019-04-26","4.0600","4.0522","4.0820","4.0461","0.0018","EURQAR_2019-04-26",EURQAR
"2019-04-25","4.0529","4.0630","4.0842","4.0481","-0.0020","EURQAR_2019-04-25",EURQAR
"2019-04-24","4.0609","4.0879","4.1095","4.0562","-0.0066","EURQAR_2019-04-24",EURQAR
"2019-04-23","4.0880","4.0992","4.1198","4.0750","-0.0028","EURQAR_2019-04-23",EURQAR
"2019-04-22","4.0993","4.0946","4.1167","4.0910","0.0010","EURQAR_2019-04-22",EURQAR
"2019-04-19","4.0953","4.0924","4.1167","4.0884","0.0016","EURQAR_2019-04-19",EURQAR
"2019-04-18","4.0889","4.1135","4.1369","4.0874","-0.0059","EURQAR_2019-04-18",EURQAR
"2019-04-17","4.1133","4.1076","4.1405","4.1066","0.0015","EURQAR_2019-04-17",EURQAR
"2019-04-16","4.1071","4.1161","4.1388","4.1064","-0.0027","EURQAR_2019-04-16",EURQAR
"2019-04-15","4.1181","4.1147","4.1414","4.1128","0.0006","EURQAR_2019-04-15",EURQAR
"2019-04-12","4.1155","4.0980","4.1407","4.0976","0.0044","EURQAR_2019-04-12",EURQAR
"2019-04-11","4.0973","4.1060","4.1316","4.0963","-0.0020","EURQAR_2019-04-11",EURQAR
"2019-04-10","4.1056","4.1124","4.1245","4.0892","-0.0039","EURQAR_2019-04-10",EURQAR
"2019-04-09","4.1217","4.1117","4.1363","4.1057","0.0051","EURQAR_2019-04-09",EURQAR
"2019-04-08","4.1007","4.0850","4.1203","4.0830","0.0040","EURQAR_2019-04-08",EURQAR
"2019-04-05","4.0843","4.0865","4.1117","4.0819","-0.0004","EURQAR_2019-04-05",EURQAR
"2019-04-04","4.0858","4.0903","4.1159","4.0800","-0.0012","EURQAR_2019-04-04",EURQAR
"2019-04-03","4.0907","4.0792","4.1120","4.0774","0.0026","EURQAR_2019-04-03",EURQAR
"2019-04-02","4.0800","4.0836","4.1028","4.0714","-0.0006","EURQAR_2019-04-02",EURQAR
"2019-04-01","4.0824","4.0853","4.1128","4.0787","-0.0004","EURQAR_2019-04-01",EURQAR
"2019-03-29","4.0842","4.0853","4.1123","4.0805","-0.0010","EURQAR_2019-03-29",EURQAR
"2019-03-28","4.0884","4.0938","4.1181","4.0830","-0.0013","EURQAR_2019-03-28",EURQAR
