"Date","Price","Open","High","Low","Change","ID","CROSS"
"2019-09-30","1.4433","1.4491","1.4498","1.4418","-0.0039","EURCAD_2019-09-30",EURCAD
"2019-09-27","1.4489","1.4489","1.4526","1.4467","-0.0002","EURCAD_2019-09-27",EURCAD
"2019-09-26","1.4492","1.4516","1.4536","1.4468","-0.0019","EURCAD_2019-09-26",EURCAD
"2019-09-25","1.4519","1.4593","1.4599","1.4498","-0.0051","EURCAD_2019-09-25",EURCAD
"2019-09-24","1.4593","1.4581","1.4608","1.4561","0.0009","EURCAD_2019-09-24",EURCAD
"2019-09-23","1.4580","1.4610","1.4640","1.4562","-0.0021","EURCAD_2019-09-23",EURCAD
"2019-09-20","1.4610","1.4642","1.4687","1.4585","-0.0023","EURCAD_2019-09-20",EURCAD
"2019-09-19","1.4643","1.4658","1.4712","1.4621","-0.0008","EURCAD_2019-09-19",EURCAD
"2019-09-18","1.4654","1.4663","1.4708","1.4634","-0.0008","EURCAD_2019-09-18",EURCAD
"2019-09-17","1.4665","1.4564","1.4686","1.4559","0.0069","EURCAD_2019-09-17",EURCAD
"2019-09-16","1.4564","1.4651","1.4695","1.4554","-0.0101","EURCAD_2019-09-16",EURCAD
"2019-09-13","1.4713","1.4617","1.4721","1.4603","0.0067","EURCAD_2019-09-13",EURCAD
"2019-09-12","1.4615","1.4527","1.4638","1.4431","0.0062","EURCAD_2019-09-12",EURCAD
"2019-09-11","1.4525","1.4523","1.4539","1.4454","0.0001","EURCAD_2019-09-11",EURCAD
"2019-09-10","1.4523","1.4546","1.4570","1.4495","-0.0017","EURCAD_2019-09-10",EURCAD
"2019-09-09","1.4548","1.4531","1.4564","1.4501","0.0014","EURCAD_2019-09-09",EURCAD
"2019-09-06","1.4527","1.4596","1.4607","1.4510","-0.0049","EURCAD_2019-09-06",EURCAD
"2019-09-05","1.4598","1.4591","1.4641","1.4550","0.0003","EURCAD_2019-09-05",EURCAD
"2019-09-04","1.4594","1.4633","1.4696","1.4580","-0.0027","EURCAD_2019-09-04",EURCAD
"2019-09-03","1.4633","1.4618","1.4658","1.4580","0.0011","EURCAD_2019-09-03",EURCAD
"2019-09-02","1.4617","1.4639","1.4662","1.4599","-0.0010","EURCAD_2019-09-02",EURCAD
"2019-08-30","1.4631","1.4690","1.4706","1.4590","-0.0040","EURCAD_2019-08-30",EURCAD
"2019-08-29","1.4690","1.4742","1.4766","1.4686","-0.0035","EURCAD_2019-08-29",EURCAD
"2019-08-28","1.4741","1.4729","1.4769","1.4715","0.0007","EURCAD_2019-08-28",EURCAD
"2019-08-27","1.4730","1.4713","1.4751","1.4681","0.0010","EURCAD_2019-08-27",EURCAD
"2019-08-26","1.4716","1.4803","1.4864","1.4701","-0.0059","EURCAD_2019-08-26",EURCAD
"2019-08-23","1.4804","1.4737","1.4852","1.4714","0.0043","EURCAD_2019-08-23",EURCAD
"2019-08-22","1.4740","1.4732","1.4771","1.4705","0.0005","EURCAD_2019-08-22",EURCAD
"2019-08-21","1.4733","1.4781","1.4799","1.4708","-0.0033","EURCAD_2019-08-21",EURCAD
"2019-08-20","1.4782","1.4763","1.4799","1.4746","0.0014","EURCAD_2019-08-20",EURCAD
"2019-08-19","1.4761","1.4723","1.4784","1.4705","0.0029","EURCAD_2019-08-19",EURCAD
"2019-08-16","1.4719","1.4784","1.4804","1.4708","-0.0043","EURCAD_2019-08-16",EURCAD
