"Date","Price","Open","High","Low","Change","ID","CROSS"
"2019-09-30","77.0030","77.1250","77.4640","76.9360","-0.0016","EURINR_2019-09-30",EURINR
"2019-09-27","77.1295","77.4925","77.5235","76.8935","-0.0049","EURINR_2019-09-27",EURINR
"2019-09-26","77.5070","77.6750","77.8840","77.4350","-0.0023","EURINR_2019-09-26",EURINR
"2019-09-25","77.6820","78.2100","78.2950","77.6470","-0.0068","EURINR_2019-09-25",EURINR
"2019-09-24","78.2100","77.8400","78.2620","77.7320","0.0049","EURINR_2019-09-24",EURINR
"2019-09-23","77.8295","78.2935","78.3725","77.7505","-0.0061","EURINR_2019-09-23",EURINR
"2019-09-20","78.3105","78.8155","78.9515","78.1075","-0.0063","EURINR_2019-09-20",EURINR
"2019-09-19","78.8050","78.4550","79.0120","78.4050","0.0042","EURINR_2019-09-19",EURINR
"2019-09-18","78.4730","79.1520","79.1800","78.3520","-0.0086","EURINR_2019-09-18",EURINR
"2019-09-17","79.1575","78.7315","79.3265","78.7165","0.0051","EURINR_2019-09-17",EURINR
"2019-09-16","78.7525","78.7515","79.3895","78.6305","0.0017","EURINR_2019-09-16",EURINR
"2019-09-13","78.6160","78.5040","78.9980","78.4210","0.0013","EURINR_2019-09-13",EURINR
"2019-09-12","78.5105","78.8135","78.8675","77.7585","-0.0038","EURINR_2019-09-12",EURINR
"2019-09-11","78.8065","79.4035","79.4895","78.7135","-0.0072","EURINR_2019-09-11",EURINR
"2019-09-10","79.3750","79.2570","79.4880","79.1670","0.0009","EURINR_2019-09-10",EURINR
"2019-09-09","79.3000","78.9960","79.4020","78.8760","0.0036","EURINR_2019-09-09",EURINR
"2019-09-06","79.0170","79.3670","79.4090","78.9560","-0.0045","EURINR_2019-09-06",EURINR
"2019-09-05","79.3730","79.4320","79.6380","79.1640","-0.0009","EURINR_2019-09-05",EURINR
"2019-09-04","79.4465","79.2105","79.4915","79.0645","0.0031","EURINR_2019-09-04",EURINR
"2019-09-03","79.1995","78.9425","79.3155","78.6615","0.0033","EURINR_2019-09-03",EURINR
"2019-09-02","78.9360","78.5430","79.1080","78.5000","0.0051","EURINR_2019-09-02",EURINR
"2019-08-30","78.5340","79.2650","79.3500","78.3330","-0.0093","EURINR_2019-08-30",EURINR
"2019-08-29","79.2675","79.5455","79.9305","79.1495","-0.0038","EURINR_2019-08-29",EURINR
"2019-08-28","79.5685","79.3535","79.7525","79.2525","0.0028","EURINR_2019-08-28",EURINR
"2019-08-27","79.3450","79.9750","80.0080","79.1790","-0.0077","EURINR_2019-08-27",EURINR
"2019-08-26","79.9620","79.6980","80.5860","79.5980","0.0033","EURINR_2019-08-26",EURINR
"2019-08-23","79.6975","79.6885","79.7615","79.1945","0.0000","EURINR_2019-08-23",EURINR
"2019-08-22","79.6950","79.1960","79.8970","79.1880","0.0064","EURINR_2019-08-22",EURINR
"2019-08-21","79.1910","79.4190","79.5100","79.1620","-0.0029","EURINR_2019-08-21",EURINR
"2019-08-20","79.4230","79.1570","79.5950","79.1500","0.0034","EURINR_2019-08-20",EURINR
"2019-08-19","79.1535","78.9335","79.3955","78.8085","0.0031","EURINR_2019-08-19",EURINR
"2019-08-16","78.9110","79.7460","79.7890","78.6970","-0.0106","EURINR_2019-08-16",EURINR
"2019-08-15","79.7555","79.4025","80.0355","79.3675","0.0046","EURINR_2019-08-15",EURINR
"2019-08-14","79.3935","79.7655","79.8375","79.1375","-0.0048","EURINR_2019-08-14",EURINR
"2019-08-13","79.7780","79.9280","80.2610","79.4610","-0.0019","EURINR_2019-08-13",EURINR
"2019-08-12","79.9295","79.5905","80.1085","79.3265","0.0062","EURINR_2019-08-12",EURINR
"2019-08-09","79.4355","78.7455","79.6055","78.7385","0.0090","EURINR_2019-08-09",EURINR
