"Date","Price","Open","High","Low","Change","ID","CROSS"
"2019-09-30","10.7281","10.7156","10.7384","10.6921","0.0013","EURSEK_2019-09-30",EURSEK
"2019-09-27","10.7147","10.6634","10.7386","10.6496","0.0046","EURSEK_2019-09-27",EURSEK
"2019-09-26","10.6653","10.6748","10.6925","10.6489","-0.0010","EURSEK_2019-09-26",EURSEK
"2019-09-25","10.6758","10.6523","10.6888","10.6401","0.0022","EURSEK_2019-09-25",EURSEK
"2019-09-24","10.6523","10.6715","10.7127","10.6410","-0.0018","EURSEK_2019-09-24",EURSEK
"2019-09-23","10.6720","10.6844","10.7331","10.6697","-0.0013","EURSEK_2019-09-23",EURSEK
"2019-09-20","10.6863","10.6958","10.7226","10.6838","-0.0009","EURSEK_2019-09-20",EURSEK
"2019-09-19","10.6958","10.7285","10.7576","10.6938","-0.0033","EURSEK_2019-09-19",EURSEK
"2019-09-18","10.7309","10.7100","10.7475","10.7041","0.0021","EURSEK_2019-09-18",EURSEK
"2019-09-17","10.7080","10.6225","10.7172","10.6194","0.0078","EURSEK_2019-09-17",EURSEK
"2019-09-16","10.6250","10.6534","10.6781","10.6204","-0.0016","EURSEK_2019-09-16",EURSEK
"2019-09-13","10.6420","10.6475","10.6813","10.6278","-0.0004","EURSEK_2019-09-13",EURSEK
"2019-09-12","10.6465","10.6517","10.6976","10.6115","-0.0004","EURSEK_2019-09-12",EURSEK
"2019-09-11","10.6508","10.6966","10.7004","10.6473","-0.0042","EURSEK_2019-09-11",EURSEK
"2019-09-10","10.6960","10.6684","10.7751","10.6623","0.0024","EURSEK_2019-09-10",EURSEK
"2019-09-09","10.6708","10.6381","10.6808","10.6223","0.0032","EURSEK_2019-09-09",EURSEK
"2019-09-06","10.6366","10.6896","10.6956","10.6086","-0.0052","EURSEK_2019-09-06",EURSEK
"2019-09-05","10.6918","10.7416","10.7575","10.6652","-0.0046","EURSEK_2019-09-05",EURSEK
"2019-09-04","10.7415","10.7779","10.7811","10.7294","-0.0034","EURSEK_2019-09-04",EURSEK
"2019-09-03","10.7778","10.7781","10.8249","10.7697","-0.0002","EURSEK_2019-09-03",EURSEK
"2019-09-02","10.7803","10.7929","10.8154","10.7438","-0.0011","EURSEK_2019-09-02",EURSEK
"2019-08-30","10.7923","10.8114","10.8582","10.7809","-0.0017","EURSEK_2019-08-30",EURSEK
"2019-08-29","10.8104","10.7730","10.8178","10.7669","0.0035","EURSEK_2019-08-29",EURSEK
"2019-08-28","10.7726","10.7264","10.7818","10.7180","0.0042","EURSEK_2019-08-28",EURSEK
"2019-08-27","10.7273","10.7414","10.7558","10.6860","-0.0014","EURSEK_2019-08-27",EURSEK
"2019-08-26","10.7419","10.7084","10.7607","10.7065","0.0034","EURSEK_2019-08-26",EURSEK
"2019-08-23","10.7059","10.7219","10.7399","10.6876","-0.0016","EURSEK_2019-08-23",EURSEK
"2019-08-22","10.7230","10.6684","10.7352","10.6527","0.0051","EURSEK_2019-08-22",EURSEK
"2019-08-21","10.6687","10.7536","10.7593","10.6645","-0.0079","EURSEK_2019-08-21",EURSEK
"2019-08-20","10.7540","10.7311","10.7827","10.7210","0.0022","EURSEK_2019-08-20",EURSEK
"2019-08-19","10.7306","10.7140","10.7487","10.7022","0.0016","EURSEK_2019-08-19",EURSEK
"2019-08-16","10.7131","10.7092","10.7485","10.7017","0.0004","EURSEK_2019-08-16",EURSEK
"2019-08-15","10.7088","10.7347","10.7416","10.6998","-0.0022","EURSEK_2019-08-15",EURSEK
"2019-08-14","10.7322","10.6565","10.7456","10.6400","0.0071","EURSEK_2019-08-14",EURSEK
"2019-08-13","10.6570","10.7218","10.7333","10.6532","-0.0060","EURSEK_2019-08-13",EURSEK
"2019-08-12","10.7218","10.6919","10.7486","10.6836","0.0028","EURSEK_2019-08-12",EURSEK
"2019-08-09","10.6914","10.7334","10.7505","10.6624","-0.0038","EURSEK_2019-08-09",EURSEK
"2019-08-08","10.7325","10.7944","10.8045","10.7135","-0.0057","EURSEK_2019-08-08",EURSEK
"2019-08-07","10.7944","10.7330","10.8380","10.7223","0.0054","EURSEK_2019-08-07",EURSEK
"2019-08-06","10.7364","10.7610","10.7737","10.7064","-0.0020","EURSEK_2019-08-06",EURSEK
"2019-08-05","10.7580","10.6977","10.7746","10.6898","0.0050","EURSEK_2019-08-05",EURSEK
"2019-08-02","10.7050","10.7045","10.7318","10.6950","0.0001","EURSEK_2019-08-02",EURSEK
"2019-08-01","10.7044","10.6921","10.7188","10.6617","0.0012","EURSEK_2019-08-01",EURSEK
"2019-07-31","10.6921","10.6752","10.7268","10.6530","0.0016","EURSEK_2019-07-31",EURSEK
"2019-07-30","10.6752","10.5761","10.6777","10.5662","0.0095","EURSEK_2019-07-30",EURSEK
"2019-07-29","10.5746","10.5742","10.5882","10.5524","0.0001","EURSEK_2019-07-29",EURSEK
"2019-07-26","10.5739","10.5328","10.5855","10.5251","0.0037","EURSEK_2019-07-26",EURSEK
"2019-07-25","10.5351","10.5051","10.5589","10.4885","0.0031","EURSEK_2019-07-25",EURSEK
"2019-07-24","10.5027","10.5603","10.5702","10.4950","-0.0054","EURSEK_2019-07-24",EURSEK
"2019-07-23","10.5595","10.5522","10.5800","10.5474","0.0006","EURSEK_2019-07-23",EURSEK
"2019-07-22","10.5529","10.5270","10.5617","10.5201","0.0022","EURSEK_2019-07-22",EURSEK
"2019-07-19","10.5296","10.4949","10.5403","10.4918","0.0035","EURSEK_2019-07-19",EURSEK
"2019-07-18","10.4925","10.5154","10.5327","10.4902","-0.0020","EURSEK_2019-07-18",EURSEK
"2019-07-17","10.5133","10.5261","10.5381","10.5027","-0.0013","EURSEK_2019-07-17",EURSEK
"2019-07-16","10.5270","10.5317","10.5503","10.5099","-0.0004","EURSEK_2019-07-16",EURSEK
"2019-07-15","10.5317","10.5641","10.5708","10.5256","-0.0037","EURSEK_2019-07-15",EURSEK
"2019-07-12","10.5704","10.5572","10.5735","10.5382","0.0012","EURSEK_2019-07-12",EURSEK
"2019-07-11","10.5575","10.6002","10.6063","10.5537","-0.0040","EURSEK_2019-07-11",EURSEK
"2019-07-10","10.5999","10.6170","10.6353","10.5883","-0.0016","EURSEK_2019-07-10",EURSEK
"2019-07-09","10.6170","10.6116","10.6412","10.6001","0.0007","EURSEK_2019-07-09",EURSEK
"2019-07-08","10.6097","10.6013","10.6186","10.5816","0.0010","EURSEK_2019-07-08",EURSEK
"2019-07-05","10.5994","10.5199","10.6106","10.5137","0.0072","EURSEK_2019-07-05",EURSEK
"2019-07-04","10.5233","10.5053","10.5369","10.4997","0.0019","EURSEK_2019-07-04",EURSEK
"2019-07-03","10.5030","10.5272","10.5576","10.4852","-0.0025","EURSEK_2019-07-03",EURSEK
"2019-07-02","10.5296","10.5666","10.5745","10.5270","-0.0033","EURSEK_2019-07-02",EURSEK
"2019-07-01","10.5647","10.5563","10.5701","10.5231","0.0009","EURSEK_2019-07-01",EURSEK
"2019-06-28","10.5548","10.5479","10.5787","10.5373","0.0006","EURSEK_2019-06-28",EURSEK
"2019-06-27","10.5483","10.5288","10.5577","10.5180","0.0017","EURSEK_2019-06-27",EURSEK
"2019-06-26","10.5307","10.5477","10.5612","10.5194","-0.0016","EURSEK_2019-06-26",EURSEK
"2019-06-25","10.5472","10.5766","10.5945","10.5174","-0.0029","EURSEK_2019-06-25",EURSEK
"2019-06-24","10.5775","10.6325","10.6410","10.5694","-0.0051","EURSEK_2019-06-24",EURSEK
"2019-06-21","10.6318","10.6258","10.6474","10.6106","0.0006","EURSEK_2019-06-21",EURSEK
"2019-06-20","10.6258","10.6526","10.6626","10.6123","-0.0025","EURSEK_2019-06-20",EURSEK
"2019-06-19","10.6526","10.6725","10.6992","10.6474","-0.0021","EURSEK_2019-06-19",EURSEK
"2019-06-18","10.6750","10.6441","10.6874","10.6199","0.0036","EURSEK_2019-06-18",EURSEK
"2019-06-17","10.6365","10.6450","10.6623","10.6288","-0.0001","EURSEK_2019-06-17",EURSEK
"2019-06-14","10.6374","10.6985","10.7141","10.6249","-0.0053","EURSEK_2019-06-14",EURSEK
"2019-06-13","10.6939","10.6944","10.7133","10.6863","-0.0003","EURSEK_2019-06-13",EURSEK
"2019-06-12","10.6968","10.7048","10.7213","10.6747","-0.0012","EURSEK_2019-06-12",EURSEK
"2019-06-11","10.7096","10.6546","10.7104","10.6497","0.0050","EURSEK_2019-06-11",EURSEK
"2019-06-10","10.6564","10.6407","10.6678","10.6312","0.0005","EURSEK_2019-06-10",EURSEK
"2019-06-07","10.6510","10.6204","10.6840","10.6160","0.0026","EURSEK_2019-06-07",EURSEK
"2019-06-06","10.6231","10.6029","10.6392","10.5929","0.0023","EURSEK_2019-06-06",EURSEK
"2019-06-05","10.5992","10.6173","10.6370","10.5923","-0.0018","EURSEK_2019-06-05",EURSEK
"2019-06-04","10.6181","10.6165","10.6409","10.5968","0.0002","EURSEK_2019-06-04",EURSEK
"2019-06-03","10.6165","10.6036","10.6326","10.5919","-0.0004","EURSEK_2019-06-03",EURSEK
"2019-05-31","10.6204","10.6205","10.6689","10.5943","0.0006","EURSEK_2019-05-31",EURSEK
"2019-05-30","10.6144","10.6296","10.6525","10.5965","-0.0016","EURSEK_2019-05-30",EURSEK
"2019-05-29","10.6311","10.7125","10.7261","10.6269","-0.0075","EURSEK_2019-05-29",EURSEK
"2019-05-28","10.7111","10.7279","10.7332","10.6698","-0.0017","EURSEK_2019-05-28",EURSEK
"2019-05-27","10.7289","10.6914","10.7402","10.6801","0.0037","EURSEK_2019-05-27",EURSEK
"2019-05-24","10.6898","10.7544","10.7639","10.6823","-0.0057","EURSEK_2019-05-24",EURSEK
"2019-05-23","10.7515","10.7319","10.7625","10.7271","0.0009","EURSEK_2019-05-23",EURSEK
"2019-05-22","10.7413","10.7791","10.7882","10.7375","-0.0027","EURSEK_2019-05-22",EURSEK
"2019-05-21","10.7706","10.8010","10.8100","10.7688","-0.0023","EURSEK_2019-05-21",EURSEK
"2019-05-20","10.7954","10.7615","10.8037","10.7451","0.0032","EURSEK_2019-05-20",EURSEK
"2019-05-17","10.7611","10.7706","10.7900","10.7464","-0.0008","EURSEK_2019-05-17",EURSEK
"2019-05-16","10.7701","10.7546","10.7835","10.7369","0.0014","EURSEK_2019-05-16",EURSEK
"2019-05-15","10.7546","10.7677","10.7858","10.7433","-0.0013","EURSEK_2019-05-15",EURSEK
"2019-05-14","10.7682","10.8178","10.8369","10.7483","-0.0047","EURSEK_2019-05-14",EURSEK
"2019-05-13","10.8189","10.8054","10.8545","10.8019","0.0017","EURSEK_2019-05-13",EURSEK
"2019-05-10","10.8000","10.8249","10.8475","10.7887","-0.0023","EURSEK_2019-05-10",EURSEK
"2019-05-09","10.8249","10.7672","10.8429","10.7526","0.0055","EURSEK_2019-05-09",EURSEK
"2019-05-08","10.7658","10.7348","10.7675","10.7108","0.0027","EURSEK_2019-05-08",EURSEK
"2019-05-07","10.7363","10.7083","10.7468","10.6847","0.0025","EURSEK_2019-05-07",EURSEK
"2019-05-06","10.7093","10.6882","10.7439","10.6491","0.0021","EURSEK_2019-05-06",EURSEK
"2019-05-03","10.6873","10.7067","10.7162","10.6736","-0.0019","EURSEK_2019-05-03",EURSEK
"2019-05-02","10.7072","10.6897","10.7092","10.6648","0.0022","EURSEK_2019-05-02",EURSEK
"2019-05-01","10.6835","10.6465","10.6969","10.6415","0.0034","EURSEK_2019-05-01",EURSEK
"2019-04-30","10.6476","10.6423","10.6622","10.6216","0.0008","EURSEK_2019-04-30",EURSEK
"2019-04-29","10.6395","10.6144","10.6446","10.5868","0.0031","EURSEK_2019-04-29",EURSEK
"2019-04-26","10.6068","10.6188","10.6331","10.5520","-0.0012","EURSEK_2019-04-26",EURSEK
"2019-04-25","10.6198","10.5295","10.6669","10.4986","0.0091","EURSEK_2019-04-25",EURSEK
"2019-04-24","10.5238","10.4997","10.5334","10.4872","0.0023","EURSEK_2019-04-24",EURSEK
"2019-04-23","10.5001","10.4786","10.5229","10.4687","0.0020","EURSEK_2019-04-23",EURSEK
"2019-04-22","10.4790","10.4698","10.4852","10.4487","0.0015","EURSEK_2019-04-22",EURSEK
"2019-04-19","10.4636","10.4655","10.4708","10.4487","0.0007","EURSEK_2019-04-19",EURSEK
"2019-04-18","10.4566","10.4475","10.5061","10.4330","0.0009","EURSEK_2019-04-18",EURSEK
"2019-04-17","10.4471","10.4460","10.4617","10.4306","0.0002","EURSEK_2019-04-17",EURSEK
"2019-04-16","10.4445","10.4769","10.4863","10.4299","-0.0036","EURSEK_2019-04-16",EURSEK
"2019-04-15","10.4820","10.4734","10.4845","10.4559","0.0004","EURSEK_2019-04-15",EURSEK
"2019-04-12","10.4781","10.4549","10.4994","10.4478","0.0024","EURSEK_2019-04-12",EURSEK
"2019-04-11","10.4530","10.4425","10.4630","10.4150","0.0010","EURSEK_2019-04-11",EURSEK
"2019-04-10","10.4426","10.4262","10.4537","10.4023","0.0014","EURSEK_2019-04-10",EURSEK
"2019-04-09","10.4281","10.4370","10.4399","10.4080","-0.0001","EURSEK_2019-04-09",EURSEK
"2019-04-08","10.4291","10.4360","10.4485","10.4088","-0.0005","EURSEK_2019-04-08",EURSEK
"2019-04-05","10.4343","10.4195","10.4504","10.4010","0.0015","EURSEK_2019-04-05",EURSEK
"2019-04-04","10.4186","10.4111","10.4301","10.3924","0.0006","EURSEK_2019-04-04",EURSEK
"2019-04-03","10.4124","10.4502","10.4599","10.4055","-0.0038","EURSEK_2019-04-03",EURSEK
"2019-04-02","10.4525","10.4122","10.4590","10.4025","0.0042","EURSEK_2019-04-02",EURSEK
"2019-04-01","10.4085","10.4273","10.4413","10.3747","-0.0019","EURSEK_2019-04-01",EURSEK
"2019-03-29","10.4283","10.4261","10.4406","10.3893","-0.0005","EURSEK_2019-03-29",EURSEK
"2019-03-28","10.4339","10.4390","10.5066","10.4225","0.0000","EURSEK_2019-03-28",EURSEK
"2019-03-27","10.4338","10.4169","10.4492","10.4049","0.0018","EURSEK_2019-03-27",EURSEK
"2019-03-26","10.4151","10.4528","10.4674","10.4078","-0.0036","EURSEK_2019-03-26",EURSEK
"2019-03-25","10.4528","10.4944","10.4991","10.4271","-0.0041","EURSEK_2019-03-25",EURSEK
"2019-03-22","10.4962","10.4418","10.5044","10.4212","0.0058","EURSEK_2019-03-22",EURSEK
"2019-03-21","10.4357","10.4308","10.4446","10.4060","0.0004","EURSEK_2019-03-21",EURSEK
"2019-03-20","10.4313","10.4500","10.4669","10.4076","-0.0018","EURSEK_2019-03-20",EURSEK
"2019-03-19","10.4500","10.4636","10.4865","10.4294","-0.0012","EURSEK_2019-03-19",EURSEK
"2019-03-18","10.4627","10.4540","10.4915","10.4474","0.0007","EURSEK_2019-03-18",EURSEK
"2019-03-15","10.4551","10.5170","10.5257","10.4479","-0.0058","EURSEK_2019-03-15",EURSEK
"2019-03-14","10.5166","10.5236","10.5580","10.5096","-0.0006","EURSEK_2019-03-14",EURSEK
"2019-03-13","10.5232","10.5696","10.5879","10.5124","-0.0044","EURSEK_2019-03-13",EURSEK
"2019-03-12","10.5701","10.5552","10.5971","10.5389","0.0014","EURSEK_2019-03-12",EURSEK
"2019-03-11","10.5557","10.5937","10.6019","10.5449","-0.0040","EURSEK_2019-03-11",EURSEK
"2019-03-08","10.5976","10.5867","10.6571","10.5800","0.0011","EURSEK_2019-03-08",EURSEK
"2019-03-07","10.5861","10.5157","10.6007","10.5036","0.0067","EURSEK_2019-03-07",EURSEK
"2019-03-06","10.5157","10.5317","10.5570","10.4919","-0.0011","EURSEK_2019-03-06",EURSEK
"2019-03-05","10.5273","10.5898","10.6321","10.5218","-0.0059","EURSEK_2019-03-05",EURSEK
"2019-03-04","10.5899","10.5468","10.5994","10.5220","0.0041","EURSEK_2019-03-04",EURSEK
"2019-03-01","10.5470","10.5026","10.5498","10.4825","0.0042","EURSEK_2019-03-01",EURSEK
"2019-02-28","10.5026","10.5426","10.5584","10.4624","-0.0037","EURSEK_2019-02-28",EURSEK
"2019-02-27","10.5421","10.5729","10.5861","10.5244","-0.0036","EURSEK_2019-02-27",EURSEK
"2019-02-26","10.5803","10.5800","10.6010","10.5659","0.0007","EURSEK_2019-02-26",EURSEK
"2019-02-25","10.5731","10.5968","10.6029","10.5534","-0.0026","EURSEK_2019-02-25",EURSEK
"2019-02-22","10.6005","10.6265","10.6339","10.5816","-0.0024","EURSEK_2019-02-22",EURSEK
"2019-02-21","10.6260","10.5681","10.6354","10.5508","0.0055","EURSEK_2019-02-21",EURSEK
"2019-02-20","10.5681","10.5601","10.5847","10.5368","0.0007","EURSEK_2019-02-20",EURSEK
"2019-02-19","10.5608","10.4678","10.6262","10.4575","0.0089","EURSEK_2019-02-19",EURSEK
