"Date","Price","Open","High","Low","Change","ID","CROSS"
"2019-09-30","4.5638","4.5816","4.5854","4.5575","-0.0038","EURMYR_2019-09-30",EURMYR
"2019-09-27","4.5812","4.5809","4.5896","4.5672","-0.0002","EURMYR_2019-09-27",EURMYR
"2019-09-26","4.5823","4.5853","4.6017","4.5765","-0.0006","EURMYR_2019-09-26",EURMYR
"2019-09-25","4.5851","4.6085","4.6138","4.5830","-0.0050","EURMYR_2019-09-25",EURMYR
"2019-09-24","4.6080","4.5939","4.6105","4.5743","0.0032","EURMYR_2019-09-24",EURMYR
"2019-09-23","4.5934","4.5931","4.6029","4.5770","-0.0002","EURMYR_2019-09-23",EURMYR
"2019-09-20","4.5945","4.6284","4.6331","4.5849","-0.0074","EURMYR_2019-09-20",EURMYR
"2019-09-19","4.6289","4.6151","4.6428","4.6139","0.0030","EURMYR_2019-09-19",EURMYR
"2019-09-18","4.6150","4.6315","4.6331","4.6079","-0.0036","EURMYR_2019-09-18",EURMYR
"2019-09-17","4.6316","4.5813","4.6329","4.5804","0.0109","EURMYR_2019-09-17",EURMYR
"2019-09-16","4.5818","4.6172","4.6197","4.5785","-0.0066","EURMYR_2019-09-16",EURMYR
"2019-09-13","4.6122","4.6087","4.6262","4.6022","0.0007","EURMYR_2019-09-13",EURMYR
"2019-09-12","4.6089","4.6026","4.6193","4.5522","0.0016","EURMYR_2019-09-12",EURMYR
"2019-09-11","4.6017","4.6070","4.6216","4.5907","-0.0011","EURMYR_2019-09-11",EURMYR
"2019-09-10","4.6068","4.6165","4.6190","4.6009","-0.0026","EURMYR_2019-09-10",EURMYR
"2019-09-09","4.6186","4.6086","4.6274","4.6052","0.0017","EURMYR_2019-09-09",EURMYR
"2019-09-06","4.6107","4.6242","4.6267","4.6067","-0.0027","EURMYR_2019-09-06",EURMYR
"2019-09-05","4.6231","4.6404","4.6441","4.6191","-0.0039","EURMYR_2019-09-05",EURMYR
"2019-09-04","4.6412","4.6327","4.6425","4.6171","0.0016","EURMYR_2019-09-04",EURMYR
"2019-09-03","4.6338","4.6135","4.6363","4.6097","0.0046","EURMYR_2019-09-03",EURMYR
"2019-09-02","4.6126","4.6219","4.6261","4.6084","-0.0021","EURMYR_2019-09-02",EURMYR
"2019-08-30","4.6223","4.6637","4.6718","4.6105","-0.0088","EURMYR_2019-08-30",EURMYR
"2019-08-29","4.6633","4.6677","4.6891","4.6570","-0.0008","EURMYR_2019-08-29",EURMYR
"2019-08-28","4.6669","4.6620","4.6761","4.6605","0.0010","EURMYR_2019-08-28",EURMYR
"2019-08-27","4.6624","4.6659","4.6775","4.6600","-0.0008","EURMYR_2019-08-27",EURMYR
"2019-08-26","4.6662","4.6729","4.6925","4.6627","-0.0011","EURMYR_2019-08-26",EURMYR
"2019-08-23","4.6712","4.6414","4.6750","4.6319","0.0063","EURMYR_2019-08-23",EURMYR
"2019-08-22","4.6418","4.6295","4.6505","4.6289","0.0024","EURMYR_2019-08-22",EURMYR
"2019-08-21","4.6308","4.6437","4.6453","4.6276","-0.0028","EURMYR_2019-08-21",EURMYR
"2019-08-20","4.6439","4.6280","4.6468","4.6276","0.0036","EURMYR_2019-08-20",EURMYR
"2019-08-19","4.6273","4.6342","4.6428","4.6165","-0.0014","EURMYR_2019-08-19",EURMYR
"2019-08-16","4.6339","4.6588","4.6613","4.6239","-0.0051","EURMYR_2019-08-16",EURMYR
"2019-08-15","4.6575","4.6654","4.6797","4.6508","-0.0017","EURMYR_2019-08-15",EURMYR
"2019-08-14","4.6656","4.6886","4.6915","4.6618","-0.0049","EURMYR_2019-08-14",EURMYR
"2019-08-13","4.6888","4.6923","4.7136","4.6888","-0.0007","EURMYR_2019-08-13",EURMYR
"2019-08-12","4.6921","4.6883","4.7000","4.6707","0.0012","EURMYR_2019-08-12",EURMYR
"2019-08-09","4.6867","4.6784","4.6967","4.6773","0.0016","EURMYR_2019-08-09",EURMYR
"2019-08-08","4.6791","4.6899","4.7008","4.6773","-0.0026","EURMYR_2019-08-08",EURMYR
"2019-08-07","4.6913","4.6957","4.7097","4.6826","-0.0007","EURMYR_2019-08-07",EURMYR
"2019-08-06","4.6945","4.6812","4.7121","4.6799","0.0029","EURMYR_2019-08-06",EURMYR
"2019-08-05","4.6810","4.6144","4.6852","4.6125","0.0135","EURMYR_2019-08-05",EURMYR
"2019-08-02","4.6186","4.5964","4.6223","4.5902","0.0051","EURMYR_2019-08-02",EURMYR
"2019-08-01","4.5953","4.5705","4.6003","4.5672","0.0054","EURMYR_2019-08-01",EURMYR
"2019-07-31","4.5705","4.6009","4.6091","4.5639","-0.0067","EURMYR_2019-07-31",EURMYR
"2019-07-30","4.6014","4.5968","4.6044","4.5919","0.0009","EURMYR_2019-07-30",EURMYR
"2019-07-29","4.5971","4.5841","4.5995","4.5816","0.0029","EURMYR_2019-07-29",EURMYR
"2019-07-26","4.5838","4.5864","4.5947","4.5776","-0.0006","EURMYR_2019-07-26",EURMYR
"2019-07-25","4.5864","4.5880","4.6033","4.5675","-0.0003","EURMYR_2019-07-25",EURMYR
"2019-07-24","4.5880","4.5937","4.5963","4.5832","-0.0012","EURMYR_2019-07-24",EURMYR
"2019-07-23","4.5934","4.6090","4.6113","4.5904","-0.0037","EURMYR_2019-07-23",EURMYR
"2019-07-22","4.6106","4.6151","4.6209","4.6090","-0.0012","EURMYR_2019-07-22",EURMYR
