Date,Price,Open,High,Low,Change,ID,Cross
21-12-15,1.2845,0,0,0,0,DKKNOK_2015-12-21,DKKNOK
22-12-15,1.2805,0,0,0,0,DKKNOK_2015-12-22,DKKNOK
23-12-15,1.275,0,0,0,0,DKKNOK_2015-12-23,DKKNOK
24-12-15,1.2781,0,0,0,0,DKKNOK_2015-12-24,DKKNOK
25-12-15,1.2798,0,0,0,0,DKKNOK_2015-12-25,DKKNOK
26-12-15,1.2798,0,0,0,0,DKKNOK_2015-12-26,DKKNOK
27-12-15,1.2798,0,0,0,0,DKKNOK_2015-12-27,DKKNOK
28-12-15,1.279,0,0,0,0,DKKNOK_2015-12-28,DKKNOK
29-12-15,1.2761,0,0,0,0,DKKNOK_2015-12-29,DKKNOK
30-12-15,1.2882,0,0,0,0,DKKNOK_2015-12-30,DKKNOK
31-12-15,1.2867,0,0,0,0,DKKNOK_2015-12-31,DKKNOK
01-01-16,1.2904,0,0,0,0,DKKNOK_2016-01-01,DKKNOK
02-01-16,1.2904,0,0,0,0,DKKNOK_2016-01-02,DKKNOK
03-01-16,1.2904,0,0,0,0,DKKNOK_2016-01-03,DKKNOK
04-01-16,1.289,0,0,0,0,DKKNOK_2016-01-04,DKKNOK
05-01-16,1.2834,0,0,0,0,DKKNOK_2016-01-05,DKKNOK
06-01-16,1.2934,0,0,0,0,DKKNOK_2016-01-06,DKKNOK
07-01-16,1.3015,0,0,0,0,DKKNOK_2016-01-07,DKKNOK
08-01-16,1.2967,0,0,0,0,DKKNOK_2016-01-08,DKKNOK
09-01-16,1.2967,0,0,0,0,DKKNOK_2016-01-09,DKKNOK
10-01-16,1.2967,0,0,0,0,DKKNOK_2016-01-10,DKKNOK
11-01-16,1.3009,0,0,0,0,DKKNOK_2016-01-11,DKKNOK
12-01-16,1.2924,0,0,0,0,DKKNOK_2016-01-12,DKKNOK
13-01-16,1.2855,0,0,0,0,DKKNOK_2016-01-13,DKKNOK
14-01-16,1.2775,0,0,0,0,DKKNOK_2016-01-14,DKKNOK
15-01-16,1.2913,0,0,0,0,DKKNOK_2016-01-15,DKKNOK
16-01-16,1.2913,0,0,0,0,DKKNOK_2016-01-16,DKKNOK
17-01-16,1.2913,0,0,0,0,DKKNOK_2016-01-17,DKKNOK
18-01-16,1.2992,0,0,0,0,DKKNOK_2016-01-18,DKKNOK
19-01-16,1.2881,0,0,0,0,DKKNOK_2016-01-19,DKKNOK
20-01-16,1.295,0,0,0,0,DKKNOK_2016-01-20,DKKNOK
21-01-16,1.2816,0,0,0,0,DKKNOK_2016-01-21,DKKNOK
22-01-16,1.2644,0,0,0,0,DKKNOK_2016-01-22,DKKNOK
23-01-16,1.2644,0,0,0,0,DKKNOK_2016-01-23,DKKNOK
24-01-16,1.2644,0,0,0,0,DKKNOK_2016-01-24,DKKNOK
25-01-16,1.2734,0,0,0,0,DKKNOK_2016-01-25,DKKNOK
26-01-16,1.2675,0,0,0,0,DKKNOK_2016-01-26,DKKNOK
27-01-16,1.2643,0,0,0,0,DKKNOK_2016-01-27,DKKNOK
28-01-16,1.2626,0,0,0,0,DKKNOK_2016-01-28,DKKNOK
29-01-16,1.2597,0,0,0,0,DKKNOK_2016-01-29,DKKNOK
30-01-16,1.2597,0,0,0,0,DKKNOK_2016-01-30,DKKNOK
31-01-16,1.2597,0,0,0,0,DKKNOK_2016-01-31,DKKNOK
01-02-16,1.2678,0,0,0,0,DKKNOK_2016-02-01,DKKNOK
02-02-16,1.2775,0,0,0,0,DKKNOK_2016-02-02,DKKNOK
03-02-16,1.2746,0,0,0,0,DKKNOK_2016-02-03,DKKNOK
04-02-16,1.2771,0,0,0,0,DKKNOK_2016-02-04,DKKNOK
05-02-16,1.2834,0,0,0,0,DKKNOK_2016-02-05,DKKNOK
06-02-16,1.2834,0,0,0,0,DKKNOK_2016-02-06,DKKNOK
07-02-16,1.2834,0,0,0,0,DKKNOK_2016-02-07,DKKNOK
08-02-16,1.288,0,0,0,0,DKKNOK_2016-02-08,DKKNOK
09-02-16,1.2996,0,0,0,0,DKKNOK_2016-02-09,DKKNOK
10-02-16,1.2885,0,0,0,0,DKKNOK_2016-02-10,DKKNOK
11-02-16,1.2985,0,0,0,0,DKKNOK_2016-02-11,DKKNOK
12-02-16,1.294,0,0,0,0,DKKNOK_2016-02-12,DKKNOK
13-02-16,1.294,0,0,0,0,DKKNOK_2016-02-13,DKKNOK
14-02-16,1.294,0,0,0,0,DKKNOK_2016-02-14,DKKNOK
15-02-16,1.2886,0,0,0,0,DKKNOK_2016-02-15,DKKNOK
16-02-16,1.2879,0,0,0,0,DKKNOK_2016-02-16,DKKNOK
17-02-16,1.2737,0,0,0,0,DKKNOK_2016-02-17,DKKNOK
18-02-16,1.2786,0,0,0,0,DKKNOK_2016-02-18,DKKNOK
19-02-16,1.2758,0,0,0,0,DKKNOK_2016-02-19,DKKNOK
20-02-16,1.2758,0,0,0,0,DKKNOK_2016-02-20,DKKNOK
21-02-16,1.2758,0,0,0,0,DKKNOK_2016-02-21,DKKNOK
22-02-16,1.2714,0,0,0,0,DKKNOK_2016-02-22,DKKNOK
23-02-16,1.2706,0,0,0,0,DKKNOK_2016-02-23,DKKNOK
24-02-16,1.279,0,0,0,0,DKKNOK_2016-02-24,DKKNOK
25-02-16,1.2742,0,0,0,0,DKKNOK_2016-02-25,DKKNOK
26-02-16,1.2738,0,0,0,0,DKKNOK_2016-02-26,DKKNOK
27-02-16,1.2738,0,0,0,0,DKKNOK_2016-02-27,DKKNOK
28-02-16,1.2738,0,0,0,0,DKKNOK_2016-02-28,DKKNOK
29-02-16,1.2672,0,0,0,0,DKKNOK_2016-02-29,DKKNOK
01-03-16,1.2606,0,0,0,0,DKKNOK_2016-03-01,DKKNOK
02-03-16,1.2626,0,0,0,0,DKKNOK_2016-03-02,DKKNOK
03-03-16,1.2607,0,0,0,0,DKKNOK_2016-03-03,DKKNOK
04-03-16,1.2498,0,0,0,0,DKKNOK_2016-03-04,DKKNOK
05-03-16,1.2498,0,0,0,0,DKKNOK_2016-03-05,DKKNOK
06-03-16,1.2498,0,0,0,0,DKKNOK_2016-03-06,DKKNOK
07-03-16,1.255,0,0,0,0,DKKNOK_2016-03-07,DKKNOK
08-03-16,1.2637,0,0,0,0,DKKNOK_2016-03-08,DKKNOK
09-03-16,1.257,0,0,0,0,DKKNOK_2016-03-09,DKKNOK
10-03-16,1.2768,0,0,0,0,DKKNOK_2016-03-10,DKKNOK
11-03-16,1.2588,0,0,0,0,DKKNOK_2016-03-11,DKKNOK
12-03-16,1.2588,0,0,0,0,DKKNOK_2016-03-12,DKKNOK
13-03-16,1.2588,0,0,0,0,DKKNOK_2016-03-13,DKKNOK
14-03-16,1.2609,0,0,0,0,DKKNOK_2016-03-14,DKKNOK
15-03-16,1.2733,0,0,0,0,DKKNOK_2016-03-15,DKKNOK
16-03-16,1.2731,0,0,0,0,DKKNOK_2016-03-16,DKKNOK
17-03-16,1.2637,0,0,0,0,DKKNOK_2016-03-17,DKKNOK
18-03-16,1.2696,0,0,0,0,DKKNOK_2016-03-18,DKKNOK
19-03-16,1.2696,0,0,0,0,DKKNOK_2016-03-19,DKKNOK
20-03-16,1.2696,0,0,0,0,DKKNOK_2016-03-20,DKKNOK
21-03-16,1.2695,0,0,0,0,DKKNOK_2016-03-21,DKKNOK
22-03-16,1.2649,0,0,0,0,DKKNOK_2016-03-22,DKKNOK
23-03-16,1.2718,0,0,0,0,DKKNOK_2016-03-23,DKKNOK
24-03-16,1.2718,0,0,0,0,DKKNOK_2016-03-24,DKKNOK
25-03-16,1.2695,0,0,0,0,DKKNOK_2016-03-25,DKKNOK
26-03-16,1.2695,0,0,0,0,DKKNOK_2016-03-26,DKKNOK
27-03-16,1.2695,0,0,0,0,DKKNOK_2016-03-27,DKKNOK
28-03-16,1.2663,0,0,0,0,DKKNOK_2016-03-28,DKKNOK
29-03-16,1.2712,0,0,0,0,DKKNOK_2016-03-29,DKKNOK
30-03-16,1.2642,0,0,0,0,DKKNOK_2016-03-30,DKKNOK
31-03-16,1.2626,0,0,0,0,DKKNOK_2016-03-31,DKKNOK
