"Date","Price","Open","High","Low","Change","ID","CROSS"
"2019-09-30","6.1573","6.2037","6.2101","6.1364","-0.0074","EURTRY_2019-09-30",EURTRY
"2019-09-27","6.2032","6.1837","6.2213","6.1654","0.0025","EURTRY_2019-09-27",EURTRY
"2019-09-26","6.1879","6.2062","6.2424","6.1681","-0.0028","EURTRY_2019-09-26",EURTRY
"2019-09-25","6.2054","6.2801","6.2850","6.1997","-0.0116","EURTRY_2019-09-25",EURTRY
"2019-09-24","6.2785","6.2834","6.2916","6.2252","-0.0011","EURTRY_2019-09-24",EURTRY
"2019-09-23","6.2851","6.3291","6.3323","6.2663","-0.0069","EURTRY_2019-09-23",EURTRY
"2019-09-20","6.3286","6.3099","6.3327","6.2640","0.0023","EURTRY_2019-09-20",EURTRY
"2019-09-19","6.3139","6.2657","6.3281","6.2530","0.0084","EURTRY_2019-09-19",EURTRY
"2019-09-18","6.2615","6.3122","6.3218","6.2481","-0.0082","EURTRY_2019-09-18",EURTRY
"2019-09-17","6.3132","6.3038","6.3293","6.2797","0.0016","EURTRY_2019-09-17",EURTRY
"2019-09-16","6.3030","6.2981","6.3594","6.2656","0.0009","EURTRY_2019-09-16",EURTRY
"2019-09-13","6.2973","6.2512","6.3151","6.2484","0.0063","EURTRY_2019-09-13",EURTRY
"2019-09-12","6.2579","6.3347","6.3619","6.1919","-0.0117","EURTRY_2019-09-12",EURTRY
"2019-09-11","6.3323","6.3734","6.4041","6.3113","-0.0059","EURTRY_2019-09-11",EURTRY
"2019-09-10","6.3701","6.3524","6.3941","6.3381","0.0028","EURTRY_2019-09-10",EURTRY
"2019-09-09","6.3525","6.3022","6.3761","6.2783","0.0077","EURTRY_2019-09-09",EURTRY
"2019-09-06","6.3037","6.2740","6.3288","6.2668","0.0036","EURTRY_2019-09-06",EURTRY
"2019-09-05","6.2809","6.2598","6.3106","6.2255","0.0043","EURTRY_2019-09-05",EURTRY
"2019-09-04","6.2541","6.2873","6.2941","6.1972","-0.0053","EURTRY_2019-09-04",EURTRY
"2019-09-03","6.2873","6.3696","6.3781","6.2720","-0.0128","EURTRY_2019-09-03",EURTRY
"2019-09-02","6.3689","6.4104","6.4218","6.3534","-0.0062","EURTRY_2019-09-02",EURTRY
"2019-08-30","6.4084","6.4562","6.4609","6.3870","-0.0076","EURTRY_2019-08-30",EURTRY
"2019-08-29","6.4573","6.4376","6.4810","6.4203","0.0027","EURTRY_2019-08-29",EURTRY
"2019-08-28","6.4398","6.4599","6.4755","6.4108","-0.0036","EURTRY_2019-08-28",EURTRY
"2019-08-27","6.4630","6.4676","6.5111","6.4325","-0.0006","EURTRY_2019-08-27",EURTRY
"2019-08-26","6.4672","6.4252","6.5171","6.4234","0.0075","EURTRY_2019-08-26",EURTRY
"2019-08-23","6.4191","6.3911","6.4343","6.3424","0.0043","EURTRY_2019-08-23",EURTRY
"2019-08-22","6.3915","6.3296","6.4302","6.3277","0.0087","EURTRY_2019-08-22",EURTRY
"2019-08-21","6.3364","6.3640","6.3760","6.3285","-0.0036","EURTRY_2019-08-21",EURTRY
"2019-08-20","6.3594","6.2652","6.3766","6.2450","0.0141","EURTRY_2019-08-20",EURTRY
"2019-08-19","6.2712","6.1956","6.3037","6.1696","0.0137","EURTRY_2019-08-19",EURTRY
"2019-08-16","6.1866","6.1813","6.1978","6.1178","0.0004","EURTRY_2019-08-16",EURTRY
"2019-08-15","6.1841","6.2535","6.2616","6.1716","-0.0109","EURTRY_2019-08-15",EURTRY
"2019-08-14","6.2521","6.2117","6.2783","6.2057","0.0061","EURTRY_2019-08-14",EURTRY
"2019-08-13","6.2141","6.2386","6.3285","6.1996","-0.0040","EURTRY_2019-08-13",EURTRY
"2019-08-12","6.2389","6.1571","6.2505","6.1499","0.0143","EURTRY_2019-08-12",EURTRY
"2019-08-09","6.1507","6.1156","6.1839","6.0924","0.0042","EURTRY_2019-08-09",EURTRY
"2019-08-08","6.1249","6.1593","6.1859","6.1033","-0.0045","EURTRY_2019-08-08",EURTRY
"2019-08-07","6.1525","6.1829","6.2075","6.1196","-0.0050","EURTRY_2019-08-07",EURTRY
"2019-08-06","6.1833","6.2435","6.2923","6.1543","-0.0093","EURTRY_2019-08-06",EURTRY
"2019-08-05","6.2415","6.1721","6.2592","6.1592","0.0106","EURTRY_2019-08-05",EURTRY
"2019-08-02","6.1762","6.2108","6.2284","6.1547","-0.0058","EURTRY_2019-08-02",EURTRY
"2019-08-01","6.2123","6.1895","6.2428","6.1337","0.0040","EURTRY_2019-08-01",EURTRY
"2019-07-31","6.1875","6.1986","6.2270","6.1338","-0.0023","EURTRY_2019-07-31",EURTRY
"2019-07-30","6.2019","6.2558","6.2707","6.1798","-0.0089","EURTRY_2019-07-30",EURTRY
"2019-07-29","6.2575","6.3152","6.3175","6.2241","-0.0085","EURTRY_2019-07-29",EURTRY
"2019-07-26","6.3110","6.3571","6.3618","6.2373","-0.0072","EURTRY_2019-07-26",EURTRY
"2019-07-25","6.3568","6.3561","6.4244","6.2711","-0.0004","EURTRY_2019-07-25",EURTRY
"2019-07-24","6.3593","6.3791","6.3914","6.3449","-0.0028","EURTRY_2019-07-24",EURTRY
"2019-07-23","6.3770","6.3628","6.3830","6.3299","0.0021","EURTRY_2019-07-23",EURTRY
"2019-07-22","6.3639","6.3439","6.3872","6.3181","0.0028","EURTRY_2019-07-22",EURTRY
"2019-07-19","6.3461","6.3327","6.3736","6.3090","0.0017","EURTRY_2019-07-19",EURTRY
"2019-07-18","6.3354","6.3810","6.4227","6.3033","-0.0070","EURTRY_2019-07-18",EURTRY
"2019-07-17","6.3800","6.4059","6.4143","6.3545","-0.0037","EURTRY_2019-07-17",EURTRY
"2019-07-16","6.4035","6.4317","6.4454","6.3763","-0.0047","EURTRY_2019-07-16",EURTRY
"2019-07-15","6.4337","6.4477","6.4656","6.4186","-0.0021","EURTRY_2019-07-15",EURTRY
"2019-07-12","6.4470","6.3955","6.5106","6.3792","0.0097","EURTRY_2019-07-12",EURTRY
"2019-07-11","6.3849","6.3824","6.4196","6.3614","0.0002","EURTRY_2019-07-11",EURTRY
"2019-07-10","6.3838","6.4215","6.4637","6.3785","-0.0064","EURTRY_2019-07-10",EURTRY
"2019-07-09","6.4247","6.4371","6.4474","6.3577","-0.0013","EURTRY_2019-07-09",EURTRY
"2019-07-08","6.4332","6.3186","6.5054","6.3152","0.0182","EURTRY_2019-07-08",EURTRY
"2019-07-05","6.3183","6.3143","6.3433","6.2843","0.0006","EURTRY_2019-07-05",EURTRY
"2019-07-04","6.3143","6.3355","6.3509","6.2858","-0.0046","EURTRY_2019-07-04",EURTRY
"2019-07-03","6.3437","6.3825","6.4034","6.3176","-0.0056","EURTRY_2019-07-03",EURTRY
"2019-07-02","6.3792","6.3737","6.4421","6.3465","0.0003","EURTRY_2019-07-02",EURTRY
"2019-07-01","6.3771","6.5891","6.5914","6.3723","-0.0317","EURTRY_2019-07-01",EURTRY
"2019-06-28","6.5856","6.5651","6.6026","6.5370","0.0034","EURTRY_2019-06-28",EURTRY
"2019-06-27","6.5631","6.5643","6.5903","6.5382","-0.0004","EURTRY_2019-06-27",EURTRY
"2019-06-26","6.5659","6.5892","6.6093","6.5290","-0.0031","EURTRY_2019-06-26",EURTRY
"2019-06-25","6.5865","6.6211","6.6450","6.5436","-0.0052","EURTRY_2019-06-25",EURTRY
"2019-06-24","6.6211","6.6137","6.6365","6.4872","0.0005","EURTRY_2019-06-24",EURTRY
"2019-06-21","6.6178","6.5059","6.6293","6.4871","0.0166","EURTRY_2019-06-21",EURTRY
"2019-06-20","6.5096","6.4973","6.5941","6.4581","0.0013","EURTRY_2019-06-20",EURTRY
"2019-06-19","6.5014","6.5256","6.6313","6.4988","-0.0034","EURTRY_2019-06-19",EURTRY
"2019-06-18","6.5237","6.5908","6.6113","6.5057","-0.0098","EURTRY_2019-06-18",EURTRY
"2019-06-17","6.5885","6.6223","6.6521","6.5605","-0.0040","EURTRY_2019-06-17",EURTRY
"2019-06-14","6.6150","6.6145","6.6971","6.5784","-0.0004","EURTRY_2019-06-14",EURTRY
"2019-06-13","6.6175","6.5614","6.6620","6.5529","0.0092","EURTRY_2019-06-13",EURTRY
"2019-06-12","6.5569","6.5644","6.6113","6.5251","-0.0019","EURTRY_2019-06-12",EURTRY
"2019-06-11","6.5695","6.5350","6.6143","6.5030","0.0055","EURTRY_2019-06-11",EURTRY
"2019-06-10","6.5338","6.6030","6.6259","6.5024","-0.0113","EURTRY_2019-06-10",EURTRY
"2019-06-07","6.6083","6.5139","6.6231","6.5123","0.0139","EURTRY_2019-06-07",EURTRY
"2019-06-06","6.5176","6.4390","6.5430","6.4157","0.0135","EURTRY_2019-06-06",EURTRY
"2019-06-05","6.4307","6.4981","6.5221","6.3919","-0.0116","EURTRY_2019-06-05",EURTRY
"2019-06-04","6.5064","6.5615","6.6062","6.4638","-0.0079","EURTRY_2019-06-04",EURTRY
"2019-06-03","6.5579","6.5256","6.5933","6.5023","0.0041","EURTRY_2019-06-03",EURTRY
"2019-05-31","6.5309","6.5422","6.5959","6.4765","-0.0016","EURTRY_2019-05-31",EURTRY
"2019-05-30","6.5416","6.6906","6.7152","6.5132","-0.0225","EURTRY_2019-05-30",EURTRY
"2019-05-29","6.6920","6.7308","6.7613","6.6801","-0.0059","EURTRY_2019-05-29",EURTRY
"2019-05-28","6.7319","6.7866","6.8072","6.6932","-0.0085","EURTRY_2019-05-28",EURTRY
"2019-05-27","6.7896","6.8175","6.8474","6.7499","-0.0038","EURTRY_2019-05-27",EURTRY
"2019-05-24","6.8152","6.8179","6.8591","6.7581","-0.0001","EURTRY_2019-05-24",EURTRY
"2019-05-23","6.8161","6.7923","6.8570","6.7825","0.0019","EURTRY_2019-05-23",EURTRY
"2019-05-22","6.8032","6.7676","6.8379","6.7478","0.0072","EURTRY_2019-05-22",EURTRY
"2019-05-21","6.7549","6.7257","6.7829","6.6958","0.0033","EURTRY_2019-05-21",EURTRY
"2019-05-20","6.7327","6.7658","6.7914","6.6964","-0.0036","EURTRY_2019-05-20",EURTRY
"2019-05-17","6.7571","6.7522","6.8106","6.7212","0.0002","EURTRY_2019-05-17",EURTRY
"2019-05-16","6.7556","6.7229","6.7766","6.7134","0.0050","EURTRY_2019-05-16",EURTRY
"2019-05-15","6.7219","6.7588","6.8277","6.7099","-0.0059","EURTRY_2019-05-15",EURTRY
"2019-05-14","6.7618","6.8037","6.8737","6.7030","-0.0058","EURTRY_2019-05-14",EURTRY
"2019-05-13","6.8011","6.7297","6.8928","6.6893","0.0114","EURTRY_2019-05-13",EURTRY
"2019-05-10","6.7242","6.9577","6.9737","6.6961","-0.0319","EURTRY_2019-05-10",EURTRY
"2019-05-09","6.9456","6.9184","7.0224","6.8845","0.0032","EURTRY_2019-05-09",EURTRY
"2019-05-08","6.9231","6.8844","6.9405","6.8754","0.0057","EURTRY_2019-05-08",EURTRY
"2019-05-07","6.8837","6.8097","6.9488","6.7965","0.0108","EURTRY_2019-05-07",EURTRY
"2019-05-06","6.8103","6.6819","6.8861","6.6593","0.0192","EURTRY_2019-05-06",EURTRY
"2019-05-03","6.6818","6.6773","6.7012","6.6412","0.0022","EURTRY_2019-05-03",EURTRY
"2019-05-02","6.6674","6.6823","6.7012","6.6528","-0.0019","EURTRY_2019-05-02",EURTRY
"2019-05-01","6.6802","6.6905","6.7089","6.6620","-0.0016","EURTRY_2019-05-01",EURTRY
"2019-04-30","6.6910","6.6538","6.7010","6.6419","0.0056","EURTRY_2019-04-30",EURTRY
"2019-04-29","6.6538","6.6257","6.6603","6.5953","0.0050","EURTRY_2019-04-29",EURTRY
"2019-04-26","6.6205","6.5949","6.6494","6.5785","0.0035","EURTRY_2019-04-26",EURTRY
"2019-04-25","6.5977","6.5543","6.6540","6.5387","0.0068","EURTRY_2019-04-25",EURTRY
"2019-04-24","6.5533","6.5487","6.6011","6.5356","0.0013","EURTRY_2019-04-24",EURTRY
"2019-04-23","6.5447","6.5599","6.5771","6.5302","-0.0025","EURTRY_2019-04-23",EURTRY
"2019-04-22","6.5611","6.5357","6.5870","6.5263","0.0037","EURTRY_2019-04-22",EURTRY
"2019-04-19","6.5367","6.5145","6.5599","6.4875","0.0032","EURTRY_2019-04-19",EURTRY
"2019-04-18","6.5159","6.4889","6.5898","6.4849","0.0051","EURTRY_2019-04-18",EURTRY
"2019-04-17","6.4827","6.5080","6.5435","6.4317","-0.0041","EURTRY_2019-04-17",EURTRY
"2019-04-16","6.5095","6.5606","6.5899","6.4749","-0.0083","EURTRY_2019-04-16",EURTRY
"2019-04-15","6.5641","6.5234","6.5866","6.5117","0.0067","EURTRY_2019-04-15",EURTRY
"2019-04-12","6.5207","6.4546","6.5903","6.4436","0.0098","EURTRY_2019-04-12",EURTRY
"2019-04-11","6.4576","6.4094","6.4919","6.3871","0.0081","EURTRY_2019-04-11",EURTRY
