"Date","Price","Open","High","Low","Change","ID","CROSS"
"2019-09-30","7.7917","7.7919","7.8122","7.7755","0.0000","EURCNY_2019-09-30",EURCNY
"2019-09-27","7.7915","7.7870","7.8059","7.7736","0.0002","EURCNY_2019-09-27",EURCNY
"2019-09-26","7.7903","7.8060","7.8216","7.7802","-0.0018","EURCNY_2019-09-26",EURCNY
"2019-09-25","7.8043","7.8399","7.8434","7.8007","-0.0048","EURCNY_2019-09-25",EURCNY
"2019-09-24","7.8423","7.8271","7.8466","7.8063","0.0022","EURCNY_2019-09-24",EURCNY
"2019-09-23","7.8254","7.8132","7.8495","7.8076","0.0015","EURCNY_2019-09-23",EURCNY
"2019-09-20","7.8135","7.8354","7.8454","7.7972","-0.0028","EURCNY_2019-09-20",EURCNY
"2019-09-19","7.8353","7.8146","7.8567","7.8097","0.0025","EURCNY_2019-09-19",EURCNY
"2019-09-18","7.8159","7.8518","7.8547","7.8038","-0.0047","EURCNY_2019-09-18",EURCNY
"2019-09-17","7.8525","7.7736","7.8545","7.7722","0.0099","EURCNY_2019-09-17",EURCNY
"2019-09-16","7.7755","7.8461","7.8503","7.7687","-0.0083","EURCNY_2019-09-16",EURCNY
"2019-09-13","7.8404","7.8364","7.8681","7.8300","0.0011","EURCNY_2019-09-13",EURCNY
"2019-09-12","7.8319","7.8353","7.8495","7.7437","-0.0005","EURCNY_2019-09-12",EURCNY
"2019-09-11","7.8355","7.8563","7.8717","7.8179","-0.0025","EURCNY_2019-09-11",EURCNY
"2019-09-10","7.8548","7.8661","7.8704","7.8347","-0.0017","EURCNY_2019-09-10",EURCNY
"2019-09-09","7.8684","7.8426","7.8833","7.8369","0.0026","EURCNY_2019-09-09",EURCNY
"2019-09-06","7.8479","7.8894","7.8990","7.8425","-0.0051","EURCNY_2019-09-06",EURCNY
"2019-09-05","7.8883","7.8812","7.9280","7.8562","0.0002","EURCNY_2019-09-05",EURCNY
"2019-09-04","7.8864","7.8834","7.8929","7.8601","0.0011","EURCNY_2019-09-04",EURCNY
"2019-09-03","7.8781","7.8674","7.8811","7.8402","0.0015","EURCNY_2019-09-03",EURCNY
"2019-09-02","7.8662","7.8630","7.8785","7.8548","0.0000","EURCNY_2019-09-02",EURCNY
"2019-08-30","7.8661","7.9018","7.9096","7.8460","-0.0043","EURCNY_2019-08-30",EURCNY
"2019-08-29","7.8997","7.9361","7.9493","7.8890","-0.0047","EURCNY_2019-08-29",EURCNY
"2019-08-28","7.9374","7.9432","7.9569","7.9310","-0.0007","EURCNY_2019-08-28",EURCNY
"2019-08-27","7.9433","7.9400","7.9698","7.9310","0.0005","EURCNY_2019-08-27",EURCNY
"2019-08-26","7.9393","7.9074","7.9724","7.8996","0.0039","EURCNY_2019-08-26",EURCNY
"2019-08-23","7.9082","7.8504","7.9146","7.8268","0.0076","EURCNY_2019-08-23",EURCNY
"2019-08-22","7.8483","7.8290","7.8705","7.8278","0.0024","EURCNY_2019-08-22",EURCNY
"2019-08-21","7.8295","7.8373","7.8481","7.8205","-0.0010","EURCNY_2019-08-21",EURCNY
"2019-08-20","7.8374","7.8110","7.8423","7.8103","0.0034","EURCNY_2019-08-20",EURCNY
"2019-08-19","7.8109","7.8111","7.8350","7.8045","0.0001","EURCNY_2019-08-19",EURCNY
"2019-08-16","7.8105","7.8129","7.8236","7.7914","-0.0002","EURCNY_2019-08-16",EURCNY
"2019-08-15","7.8123","7.8233","7.8599","7.8037","-0.0016","EURCNY_2019-08-15",EURCNY
"2019-08-14","7.8245","7.8654","7.8725","7.8167","-0.0055","EURCNY_2019-08-14",EURCNY
"2019-08-13","7.8680","7.9188","7.9384","7.8680","-0.0059","EURCNY_2019-08-13",EURCNY
"2019-08-12","7.9143","7.9119","7.9255","7.8836","0.0006","EURCNY_2019-08-12",EURCNY
"2019-08-09","7.9098","7.8772","7.9268","7.8765","0.0042","EURCNY_2019-08-09",EURCNY
"2019-08-08","7.8765","7.9069","7.9182","7.8744","-0.0038","EURCNY_2019-08-08",EURCNY
"2019-08-07","7.9067","7.8667","7.9394","7.8661","0.0047","EURCNY_2019-08-07",EURCNY
"2019-08-06","7.8696","7.8967","7.9351","7.8410","-0.0037","EURCNY_2019-08-06",EURCNY
"2019-08-05","7.8986","7.7086","7.9058","7.7086","0.0244","EURCNY_2019-08-05",EURCNY
"2019-08-02","7.7102","7.6476","7.7165","7.6407","0.0083","EURCNY_2019-08-02",EURCNY
"2019-08-01","7.6471","7.6255","7.6554","7.5967","0.0029","EURCNY_2019-08-01",EURCNY
"2019-07-31","7.6249","7.6792","7.6892","7.6139","-0.0071","EURCNY_2019-07-31",EURCNY
"2019-07-30","7.6796","7.6825","7.6860","7.6650","-0.0004","EURCNY_2019-07-30",EURCNY
"2019-07-29","7.6823","7.6541","7.6866","7.6501","0.0036","EURCNY_2019-07-29",EURCNY
"2019-07-26","7.6544","7.6603","7.6720","7.6440","-0.0008","EURCNY_2019-07-26",EURCNY
"2019-07-25","7.6608","7.6565","7.6908","7.6239","0.0006","EURCNY_2019-07-25",EURCNY
"2019-07-24","7.6559","7.6712","7.6780","7.6493","-0.0021","EURCNY_2019-07-24",EURCNY
"2019-07-23","7.6723","7.7134","7.7141","7.6658","-0.0054","EURCNY_2019-07-23",EURCNY
"2019-07-22","7.7138","7.7203","7.7248","7.7095","-0.0012","EURCNY_2019-07-22",EURCNY
"2019-07-19","7.7232","7.7583","7.7625","7.7107","-0.0046","EURCNY_2019-07-19",EURCNY
"2019-07-18","7.7586","7.7158","7.7621","7.7078","0.0057","EURCNY_2019-07-18",EURCNY
"2019-07-17","7.7150","7.7078","7.7219","7.7051","0.0008","EURCNY_2019-07-17",EURCNY
"2019-07-16","7.7089","7.7431","7.7480","7.7027","-0.0044","EURCNY_2019-07-16",EURCNY
"2019-07-15","7.7430","7.7528","7.7598","7.7389","-0.0016","EURCNY_2019-07-15",EURCNY
"2019-07-12","7.7553","7.7316","7.7588","7.7282","0.0031","EURCNY_2019-07-12",EURCNY
"2019-07-11","7.7317","7.7316","7.7503","7.7248","-0.0001","EURCNY_2019-07-11",EURCNY
"2019-07-10","7.7327","7.7172","7.7423","7.7114","0.0016","EURCNY_2019-07-10",EURCNY
"2019-07-09","7.7201","7.7231","7.7278","7.7114","0.0004","EURCNY_2019-07-09",EURCNY
"2019-07-08","7.7173","7.7367","7.7428","7.7104","-0.0027","EURCNY_2019-07-08",EURCNY
"2019-07-05","7.7381","7.7542","7.7624","7.7203","-0.0021","EURCNY_2019-07-05",EURCNY
"2019-07-04","7.7546","7.7608","7.7698","7.7467","-0.0008","EURCNY_2019-07-04",EURCNY
"2019-07-03","7.7606","7.7546","7.7841","7.7540","0.0006","EURCNY_2019-07-03",EURCNY
"2019-07-02","7.7561","7.7309","7.7870","7.7268","0.0031","EURCNY_2019-07-02",EURCNY
"2019-07-01","7.7325","7.8092","7.8120","7.7283","-0.0096","EURCNY_2019-07-01",EURCNY
"2019-06-28","7.8075","7.8197","7.8261","7.7946","-0.0015","EURCNY_2019-06-28",EURCNY
"2019-06-27","7.8190","7.8197","7.8290","7.8055","-0.0004","EURCNY_2019-06-27",EURCNY
"2019-06-26","7.8223","7.8213","7.8374","7.8007","0.0003","EURCNY_2019-06-26",EURCNY
"2019-06-25","7.8196","7.8349","7.8548","7.8045","-0.0025","EURCNY_2019-06-25",EURCNY
"2019-06-24","7.8391","7.8084","7.8455","7.8084","0.0038","EURCNY_2019-06-24",EURCNY
"2019-06-21","7.8098","7.7385","7.8174","7.7213","0.0093","EURCNY_2019-06-21",EURCNY
"2019-06-20","7.7379","7.7466","7.7755","7.7229","-0.0016","EURCNY_2019-06-20",EURCNY
